"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,0
4,"CumDeath",0,0,0,0,0,0,0,0,0
5,"CumDeath",0,0,0,0,0,0,0,0,0
6,"CumDeath",0,0,0,0,0,0,0,0,0
7,"CumDeath",0,0,0,0,0,0,0,0,0
8,"CumDeath",0,0,0,0,0,0,0,0,0
9,"CumDeath",0,0,0,0,0,0,0,0,0
10,"CumDeath",0,0,0,0,0,0,0,0,0
11,"CumDeath",0,0,0,0,0,0,0,0,0
12,"CumDeath",0,0,0,0,0,0,0,0,5.78627524999997e-10
13,"CumDeath",0,0,0,0,0,4.6192975e-10,1.389627e-08,2.407773e-08,3.971088e-08
14,"CumDeath",0,0,0,8.1260925e-10,1.87574e-08,5.0197975e-08,8.089738e-08,1.028808e-07,1.16859625e-07
15,"CumDeath",6.8448255e-09,1.6246215e-08,3.453963e-08,6.14409e-08,1.010855e-07,1.433475e-07,1.926872e-07,2.2463835e-07,2.557568e-07
16,"CumDeath",9.74540925e-08,1.144715e-07,1.280534e-07,1.6400675e-07,2.19815e-07,2.7455e-07,3.418589e-07,3.784765e-07,4.517391e-07
17,"CumDeath",1.903703e-07,2.228375e-07,2.50296e-07,2.961985e-07,3.66956e-07,4.500505e-07,5.330747e-07,5.98196e-07,6.757114e-07
18,"CumDeath",3.1752055e-07,3.4686705e-07,3.858139e-07,4.6413175e-07,5.577905e-07,6.6719425e-07,7.906973e-07,8.7717565e-07,9.47571125e-07
19,"CumDeath",4.64419975e-07,5.1370765e-07,5.556186e-07,6.8078425e-07,8.078515e-07,9.480415e-07,1.108827e-06,1.212695e-06,1.25623175e-06
20,"CumDeath",6.55567425e-07,7.2053495e-07,7.837067e-07,9.5101575e-07,1.122145e-06,1.30991e-06,1.523817e-06,1.6003865e-06,1.70608425e-06
21,"CumDeath",8.8135425e-07,9.74839e-07,1.092228e-06,1.2912425e-06,1.531415e-06,1.76703e-06,2.006262e-06,2.140007e-06,2.3083735e-06
22,"CumDeath",1.19871825e-06,1.3096955e-06,1.476559e-06,1.72167e-06,2.022695e-06,2.3266975e-06,2.637584e-06,2.805374e-06,2.9793765e-06
23,"CumDeath",1.57039725e-06,1.70697e-06,1.884637e-06,2.2161125e-06,2.64032e-06,3.028475e-06,3.441682e-06,3.6749915e-06,3.8608495e-06
24,"CumDeath",1.96792e-06,2.192321e-06,2.419169e-06,2.8868825e-06,3.372495e-06,3.870965e-06,4.422469e-06,4.6895055e-06,4.847259e-06
25,"CumDeath",2.45246775e-06,2.7429905e-06,3.042704e-06,3.63628e-06,4.196955e-06,4.89465e-06,5.495721e-06,5.8615285e-06,6.2085725e-06
26,"CumDeath",3.0002815e-06,3.341426e-06,3.73605e-06,4.40611e-06,5.116865e-06,6.0255925e-06,6.722657e-06,7.22702e-06,7.719676e-06
27,"CumDeath",3.6923425e-06,4.048666e-06,4.495213e-06,5.323745e-06,6.227825e-06,7.2584475e-06,8.136611e-06,8.815051e-06,9.4485605e-06
28,"CumDeath",4.484086e-06,4.888672e-06,5.40112e-06,6.375695e-06,7.51472e-06,8.7023225e-06,9.845811e-06,1.058255e-05,1.1304155e-05
29,"CumDeath",5.3761075e-06,5.8845455e-06,6.51226e-06,7.5761375e-06,8.917915e-06,1.0414225e-05,1.171299e-05,1.2836735e-05,1.35589125e-05
30,"CumDeath",6.40952625e-06,7.0818395e-06,7.828371e-06,9.0515575e-06,1.05125e-05,1.22678e-05,1.386964e-05,1.5129205e-05,1.6005005e-05
31,"CumDeath",7.6271745e-06,8.479777e-06,9.292814e-06,1.0712075e-05,1.24235e-05,1.4490325e-05,1.641407e-05,1.8180785e-05,1.91155775e-05
32,"CumDeath",9.147966e-06,1.011428e-05,1.106261e-05,1.262885e-05,1.46387e-05,1.6894025e-05,1.905538e-05,2.104343e-05,2.25488425e-05
33,"CumDeath",1.104125e-05,1.200858e-05,1.301583e-05,1.4748375e-05,1.705235e-05,1.96083e-05,2.211162e-05,2.4280735e-05,2.601299e-05
34,"CumDeath",1.32384275e-05,1.414739e-05,1.519151e-05,1.7152425e-05,1.989775e-05,2.27378e-05,2.543261e-05,2.776559e-05,3.00740925e-05
35,"CumDeath",1.55879325e-05,1.647252e-05,1.753051e-05,1.98225e-05,2.295995e-05,2.615765e-05,2.909252e-05,3.164698e-05,3.46721525e-05
36,"CumDeath",1.82111275e-05,1.903322e-05,2.022365e-05,2.27452e-05,2.618425e-05,2.9870925e-05,3.317768e-05,3.609683e-05,3.9381375e-05
37,"CumDeath",2.10655825e-05,2.193244e-05,2.31581e-05,2.5981375e-05,2.978955e-05,3.412035e-05,3.774061e-05,4.064966e-05,4.4910335e-05
38,"CumDeath",2.415504e-05,2.502416e-05,2.620716e-05,2.95566e-05,3.377205e-05,3.8375325e-05,4.238808e-05,4.5608255e-05,5.072214e-05
39,"CumDeath",2.7285795e-05,2.8249555e-05,2.955692e-05,3.33341e-05,3.797205e-05,4.3008825e-05,4.763013e-05,5.093365e-05,5.65454725e-05
40,"CumDeath",3.0441435e-05,3.171754e-05,3.315672e-05,3.7240475e-05,4.20947e-05,4.775695e-05,5.29309e-05,5.6627745e-05,6.21895375e-05
41,"CumDeath",3.38146e-05,3.5335425e-05,3.694047e-05,4.145165e-05,4.65293e-05,5.2680125e-05,5.817506e-05,6.2428525e-05,6.78868825e-05
42,"CumDeath",3.73221625e-05,3.9013985e-05,4.072286e-05,4.58736e-05,5.09913e-05,5.7769225e-05,6.401612e-05,6.788075e-05,7.3322715e-05
43,"CumDeath",4.1147375e-05,4.285816e-05,4.453496e-05,5.0378775e-05,5.5896e-05,6.2860875e-05,6.920705e-05,7.3628525e-05,7.92251925e-05
44,"CumDeath",4.49714675e-05,4.6630155e-05,4.837644e-05,5.463135e-05,6.04417e-05,6.815025e-05,7.49433e-05,7.94611e-05,8.46832975e-05
45,"CumDeath",4.8766875e-05,5.037438e-05,5.241493e-05,5.8875125e-05,6.533065e-05,7.2992575e-05,8.036485e-05,8.5351175e-05,9.007243e-05
46,"CumDeath",5.24471375e-05,5.40317e-05,5.648368e-05,6.3151175e-05,7.011565e-05,7.8059175e-05,8.609715e-05,9.086219e-05,9.53746175e-05
47,"CumDeath",5.613325e-05,5.7944665e-05,6.058352e-05,6.7362925e-05,7.475175e-05,8.33105e-05,9.147859e-05,9.628083e-05,0.00010058015
48,"CumDeath",5.9828725e-05,6.173657e-05,6.456858e-05,7.1631675e-05,7.9303e-05,8.840175e-05,9.714068e-05,0.00010167715,0.0001063004
49,"CumDeath",6.34740025e-05,6.55147e-05,6.854657e-05,7.6035525e-05,8.38727e-05,9.336225e-05,0.0001027385,0.0001069294,0.0001119899
50,"CumDeath",6.708042e-05,6.927134e-05,7.244346e-05,8.02874e-05,8.8533e-05,9.815775e-05,0.0001081533,0.00011249705,0.000117416775
51,"CumDeath",7.060037e-05,7.3034625e-05,7.621745e-05,8.443315e-05,9.30259e-05,0.00010276025,0.0001131789,0.00011787895,0.000122736675
52,"CumDeath",7.4085225e-05,7.67083e-05,8.01746e-05,8.84724e-05,9.745625e-05,0.0001073165,0.0001178638,0.0001231026,0.000127937775
53,"CumDeath",7.7549445e-05,8.035454e-05,8.39883e-05,9.2350325e-05,0.0001016655,0.0001119225,0.000122623,0.00012795295,0.000133166825
54,"CumDeath",8.11352575e-05,8.3862175e-05,8.768652e-05,9.6446725e-05,0.0001058565,0.00011637325,0.0001272571,0.0001326721,0.00013839565
55,"CumDeath",8.46382475e-05,8.7308975e-05,9.132742e-05,0.000100478,0.0001098735,0.000120769,0.0001320176,0.0001372492,0.00014347115
56,"CumDeath",8.797907e-05,9.07049e-05,9.506089e-05,0.000104335,0.000113732,0.00012505375,0.0001365231,0.00014165555,0.000148394425
57,"CumDeath",9.12177875e-05,9.4059625e-05,9.873102e-05,0.00010775475,0.0001176865,0.000129233,0.0001408752,0.00014605235,0.00015316385
58,"CumDeath",9.43734975e-05,9.7333345e-05,0.0001022909,0.0001111505,0.000121505,0.00013334025,0.0001449717,0.0001503163,0.00015778305
59,"CumDeath",9.74567125e-05,0.0001004189,0.0001055424,0.0001146515,0.0001253375,0.00013736725,0.0001489313,0.00015442555,0.00016225345
60,"CumDeath",0.00010055715,0.00010353525,0.0001087245,0.0001181575,0.0001290745,0.00014112325,0.0001527665,0.0001583071,0.0001665751
61,"CumDeath",0.000103548175,0.00010666115,0.0001118336,0.000121607,0.000132684,0.0001447525,0.0001564987,0.00016207175,0.00017075205
62,"CumDeath",0.0001065014,0.00010960485,0.0001148603,0.00012485425,0.00013604,0.0001483095,0.0001601054,0.0001660162,0.000174786825
