"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,0
4,"CumDeath",0,0,0,0,0,0,0,0,0
5,"CumDeath",0,0,0,0,0,0,0,0,0
6,"CumDeath",0,0,0,0,0,0,0,0,0
7,"CumDeath",0,0,0,0,0,0,0,0,0
8,"CumDeath",0,0,0,0,0,0,0,0,0
9,"CumDeath",0,0,0,0,0,0,0,0,0
10,"CumDeath",0,0,0,0,0,0,0,0,0
11,"CumDeath",0,0,0,0,0,0,0,0,0
12,"CumDeath",0,0,0,0,0,0,0,0,3.7798865e-09
13,"CumDeath",0,0,0,0,0,0,2.11086000000001e-09,8.76508599999996e-09,4.0199865e-08
14,"CumDeath",0,0,0,0,5.48518e-10,1.39402e-08,2.79777e-08,4.0675835e-08,9.38233074999999e-08
15,"CumDeath",2.14368275e-11,9.6716685e-11,4.433478e-10,2.130875e-09,2.037065e-08,4.804475e-08,6.969622e-08,9.780896e-08,1.68358625e-07
16,"CumDeath",1.05172e-08,1.1704385e-08,1.382127e-08,1.8935175e-08,5.04275e-08,9.30053e-08,1.281256e-07,1.6076115e-07,2.621392e-07
17,"CumDeath",2.69622225e-08,2.8946275e-08,3.37037e-08,4.38707e-08,8.73038e-08,1.5324875e-07,2.043878e-07,2.5160115e-07,3.88026925e-07
18,"CumDeath",4.8845205e-08,5.2957875e-08,6.098694e-08,7.73868e-08,1.412175e-07,2.360495e-07,3.121918e-07,3.794797e-07,5.53361e-07
19,"CumDeath",8.03459925e-08,8.7336885e-08,9.940129e-08,1.2492325e-07,2.170105e-07,3.5331825e-07,4.560166e-07,5.573801e-07,7.7585775e-07
20,"CumDeath",1.26076375e-07,1.3679665e-07,1.5579e-07,1.91973e-07,3.260215e-07,5.130735e-07,6.545274e-07,7.859631e-07,1.07532275e-06
21,"CumDeath",1.94372175e-07,2.0840775e-07,2.381112e-07,2.8820425e-07,4.810375e-07,7.3795125e-07,9.268778e-07,1.0956235e-06,1.477314e-06
22,"CumDeath",2.9576455e-07,3.1654735e-07,3.573259e-07,4.24632e-07,7.096705e-07,1.05311e-06,1.301685e-06,1.5308165e-06,2.01080925e-06
23,"CumDeath",4.452389e-07,4.733926e-07,5.28921e-07,6.2442225e-07,1.02517e-06,1.48819e-06,1.804837e-06,2.057969e-06,2.66210725e-06
24,"CumDeath",6.646502e-07,7.0237115e-07,7.84549e-07,9.0816725e-07,1.46621e-06,2.080245e-06,2.49297e-06,2.8043675e-06,3.54687975e-06
25,"CumDeath",9.79805675e-07,1.0362655e-06,1.148135e-06,1.318025e-06,2.07228e-06,2.8840975e-06,3.430184e-06,3.816505e-06,4.49335375e-06
26,"CumDeath",1.43509675e-06,1.517062e-06,1.669602e-06,1.8943775e-06,2.95906e-06,3.9643075e-06,4.649684e-06,5.092376e-06,5.6114055e-06
27,"CumDeath",2.10685725e-06,2.2098355e-06,2.400965e-06,2.7061575e-06,4.15643e-06,5.3905975e-06,6.288054e-06,6.7445825e-06,7.24734275e-06
28,"CumDeath",3.04903625e-06,3.1893555e-06,3.417914e-06,3.850435e-06,5.703855e-06,7.306865e-06,8.308306e-06,8.8579775e-06,9.34146525e-06
29,"CumDeath",4.37522125e-06,4.5479695e-06,4.816225e-06,5.424425e-06,7.85485e-06,9.8029875e-06,1.096316e-05,1.160035e-05,1.2041845e-05
30,"CumDeath",6.20852675e-06,6.4161445e-06,6.693307e-06,7.5305625e-06,1.05174e-05,1.29217e-05,1.433539e-05,1.50153e-05,1.554506e-05
31,"CumDeath",8.63612875e-06,8.835196e-06,9.238436e-06,1.0266375e-05,1.383875e-05,1.6801175e-05,1.847688e-05,1.922531e-05,1.985553e-05
32,"CumDeath",1.16880075e-05,1.196885e-05,1.243465e-05,1.3799725e-05,1.779005e-05,2.13641e-05,2.289907e-05,2.3995745e-05,2.48409475e-05
33,"CumDeath",1.54955725e-05,1.5948965e-05,1.659227e-05,1.8156975e-05,2.260935e-05,2.6304625e-05,2.800495e-05,2.9241275e-05,3.03149475e-05
34,"CumDeath",2.00757e-05,2.054987e-05,2.156901e-05,2.35128e-05,2.823925e-05,3.1268625e-05,3.335278e-05,3.495157e-05,3.58260775e-05
35,"CumDeath",2.4617145e-05,2.62571e-05,2.75149e-05,2.9825725e-05,3.379245e-05,3.65597e-05,3.905772e-05,4.072473e-05,4.13599725e-05
36,"CumDeath",2.797385e-05,3.2949955e-05,3.43351e-05,3.695285e-05,3.995245e-05,4.256335e-05,4.506614e-05,4.6563865e-05,4.762788e-05
37,"CumDeath",3.1150135e-05,4.0040075e-05,4.162593e-05,4.4322525e-05,4.66653e-05,4.96094e-05,5.210707e-05,5.3412885e-05,5.47862175e-05
38,"CumDeath",3.441744e-05,4.5321265e-05,4.829356e-05,5.1031275e-05,5.439245e-05,5.7499575e-05,6.03125e-05,6.2100505e-05,6.315141e-05
39,"CumDeath",3.77650075e-05,4.9873135e-05,5.342243e-05,5.7120675e-05,6.191895e-05,6.617865e-05,6.936609e-05,7.176775e-05,7.31553725e-05
40,"CumDeath",4.11746125e-05,5.4733565e-05,5.843938e-05,6.27587e-05,6.905055e-05,7.4695825e-05,7.857697e-05,8.121609e-05,8.2719405e-05
41,"CumDeath",4.45431775e-05,5.930252e-05,6.355413e-05,6.840575e-05,7.577845e-05,8.297665e-05,8.760039e-05,8.995349e-05,9.2300965e-05
42,"CumDeath",4.7880235e-05,6.3867275e-05,6.876581e-05,7.3885775e-05,8.22838e-05,9.0890725e-05,9.624143e-05,9.8994255e-05,0.000101259675
43,"CumDeath",5.123414e-05,6.8608005e-05,7.394863e-05,7.96338e-05,8.87845e-05,9.89835e-05,0.0001048737,0.00010763705,0.00011000025
44,"CumDeath",5.459591e-05,7.3065455e-05,7.889076e-05,8.50951e-05,9.529235e-05,0.00010689275,0.0001135683,0.0001160941,0.00011924825
45,"CumDeath",5.7957795e-05,7.76049e-05,8.381956e-05,9.029345e-05,0.000101838,0.0001146435,0.0001218461,0.00012464955,0.00012798935
46,"CumDeath",6.131322e-05,8.208877e-05,8.897549e-05,9.5416725e-05,0.000108093,0.000122634,0.000129754,0.0001326306,0.000136788075
47,"CumDeath",6.4656985e-05,8.648534e-05,9.4055e-05,0.00010058775,0.000114046,0.000130506,0.0001375718,0.00014028485,0.000145063275
48,"CumDeath",6.7983885e-05,9.0898045e-05,9.904165e-05,0.000105605,0.0001199645,0.00013772375,0.000145313,0.0001481228,0.000153099175
49,"CumDeath",7.129056e-05,9.5233165e-05,0.0001035294,0.00011078325,0.000125685,0.00014511625,0.0001526269,0.000155858,0.0001609801
50,"CumDeath",7.457238e-05,9.9501535e-05,0.0001079404,0.00011564225,0.000131326,0.00015222625,0.0001597415,0.0001633357,0.000168414775
51,"CumDeath",7.78266425e-05,0.0001036941,0.0001125343,0.00012081275,0.0001371115,0.00015899025,0.000166651,0.0001706204,0.0001756259
52,"CumDeath",8.10488425e-05,0.00010780865,0.000117146,0.00012563475,0.000142342,0.0001654635,0.000173219,0.0001776847,0.00018274715
53,"CumDeath",8.422757e-05,0.00011185155,0.000121508,0.000130307,0.000147655,0.00017198,0.0001796686,0.00018480165,0.00018979465
54,"CumDeath",8.7368575e-05,0.00011598155,0.0001256716,0.00013509175,0.000152837,0.00017817125,0.0001862382,0.0001917178,0.000196561
55,"CumDeath",9.0469965e-05,0.00011990905,0.0001297367,0.0001396445,0.0001577315,0.00018426975,0.0001923471,0.00019842915,0.000203083225
56,"CumDeath",9.35272125e-05,0.00012383365,0.0001337036,0.0001439645,0.0001622885,0.0001901145,0.0001983802,0.00020461625,0.000209487475
57,"CumDeath",9.65390975e-05,0.00012768985,0.0001375755,0.0001484075,0.0001670465,0.00019581875,0.0002043403,0.0002105343,0.000215671975
58,"CumDeath",9.9502755e-05,0.00013147085,0.0001413539,0.00015253625,0.0001717365,0.00020126375,0.0002098912,0.0002162202,0.000221653325
59,"CumDeath",0.000102416525,0.00013517605,0.0001451827,0.00015647025,0.000176315,0.000206243,0.0002156037,0.0002216996,0.00022743875
60,"CumDeath",0.000105276225,0.00013880765,0.0001488188,0.0001603205,0.0001807625,0.0002113785,0.0002211367,0.00022713495,0.000232771625
61,"CumDeath",0.00010808075,0.0001423548,0.0001524955,0.00016409675,0.0001851465,0.0002167185,0.0002265002,0.00023227575,0.000237950725
62,"CumDeath",0.000110828625,0.00014581565,0.0001560979,0.00016789975,0.0001892865,0.00022160625,0.0002315522,0.0002373976,0.000242990725
63,"CumDeath",0.00011351695,0.0001491884,0.0001595767,0.00017145825,0.000193176,0.000226258,0.0002364388,0.0002424128,0.0002479766
