"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,0
4,"CumDeath",0,0,0,0,0,0,0,0,0
5,"CumDeath",0,0,0,0,0,0,0,0,0
6,"CumDeath",0,0,0,0,0,0,0,0,4.5383677499998e-12
7,"CumDeath",0,0,0,0,0,0,0,2.2779575e-10,1.16034575e-08
8,"CumDeath",0,0,0,0,0,0,0,1.015387e-08,3.52361049999999e-08
9,"CumDeath",0,0,0,0,0,0,1.243142e-08,4.0081635e-08,8.26306524999997e-08
10,"CumDeath",0,0,0,0,0,5.12229e-10,5.083563e-08,1.0399305e-07,1.72010975e-07
11,"CumDeath",0,0,0,0,0,1.772935e-08,1.222627e-07,2.1455165e-07,2.9551425e-07
12,"CumDeath",0,0,0,0,1.948435e-09,6.937675e-08,2.206982e-07,3.17373949999999e-07,4.43453024999999e-07
13,"CumDeath",0,0,0,0,3.709365e-08,1.51145e-07,3.670107e-07,5.150013e-07,6.4813055e-07
14,"CumDeath",0,0,0,1.8966875e-08,1.09969e-07,2.6928375e-07,5.823065e-07,7.359142e-07,9.55331125e-07
15,"CumDeath",4.0815605e-09,9.206507e-09,2.650189e-08,9.4640825e-08,2.223545e-07,4.56981e-07,8.274596e-07,1.091995e-06,1.38357225e-06
16,"CumDeath",5.53405275e-08,7.7037955e-08,1.059378e-07,2.033035e-07,3.811465e-07,6.994385e-07,1.125582e-06,1.553547e-06,1.82830475e-06
17,"CumDeath",1.206273e-07,1.3953255e-07,1.925518e-07,3.0615625e-07,5.445515e-07,1.004115e-06,1.482606e-06,2.001971e-06,2.42286275e-06
18,"CumDeath",1.81890025e-07,2.154996e-07,2.762815e-07,4.2067825e-07,7.205655e-07,1.312595e-06,1.924048e-06,2.4930135e-06,3.0121145e-06
19,"CumDeath",2.613739e-07,3.0461205e-07,3.811932e-07,5.56597e-07,9.36034e-07,1.6528975e-06,2.517665e-06,3.0982055e-06,3.61230099999999e-06
20,"CumDeath",3.47883e-07,4.044929e-07,4.870373e-07,7.3321175e-07,1.16215e-06,2.03257e-06,3.194785e-06,3.860525e-06,4.369417e-06
21,"CumDeath",4.4427215e-07,5.175963e-07,6.336695e-07,9.106915e-07,1.44321e-06,2.5283875e-06,3.921948e-06,4.6722715e-06,5.286223e-06
22,"CumDeath",5.67015e-07,6.5581995e-07,7.988191e-07,1.1289925e-06,1.76352e-06,3.06734e-06,4.660571e-06,5.52676849999999e-06,6.3197925e-06
23,"CumDeath",7.15846125e-07,8.2025755e-07,9.984198e-07,1.3790275e-06,2.11478e-06,3.6340025e-06,5.415408e-06,6.6235135e-06,7.62907175e-06
24,"CumDeath",8.84204925e-07,1.0104225e-06,1.232097e-06,1.642725e-06,2.52998e-06,4.289385e-06,6.421555e-06,7.8345445e-06,9.01826625e-06
25,"CumDeath",1.08102825e-06,1.237531e-06,1.50509e-06,1.972255e-06,3.01596e-06,5.1031775e-06,7.437403e-06,9.3081805e-06,1.02691975e-05
26,"CumDeath",1.328687e-06,1.5184615e-06,1.802167e-06,2.37459e-06,3.534365e-06,5.89715e-06,8.534157e-06,1.0804565e-05,1.19172475e-05
27,"CumDeath",1.626729e-06,1.830006e-06,2.196412e-06,2.842915e-06,4.155595e-06,6.750945e-06,9.824274e-06,1.236629e-05,1.35019175e-05
28,"CumDeath",1.97291125e-06,2.205585e-06,2.617581e-06,3.34797e-06,4.81334e-06,7.807575e-06,1.132265e-05,1.3919185e-05,1.52044e-05
29,"CumDeath",2.41419075e-06,2.633317e-06,3.091176e-06,3.9207125e-06,5.607875e-06,8.896745e-06,1.291248e-05,1.5685165e-05,1.691667e-05
30,"CumDeath",2.9293115e-06,3.162036e-06,3.645906e-06,4.5935625e-06,6.466225e-06,1.00346e-05,1.440681e-05,1.761038e-05,1.89838525e-05
31,"CumDeath",3.497581e-06,3.7525405e-06,4.272294e-06,5.3898475e-06,7.38718e-06,1.1321575e-05,1.623857e-05,1.9508355e-05,2.13576325e-05
32,"CumDeath",4.10746125e-06,4.4707875e-06,5.061828e-06,6.306e-06,8.565585e-06,1.289575e-05,1.827558e-05,2.1750215e-05,2.3726865e-05
33,"CumDeath",4.875807e-06,5.234082e-06,5.829798e-06,7.2921125e-06,9.70884e-06,1.4658375e-05,2.054196e-05,2.4056815e-05,2.654311e-05
34,"CumDeath",5.73447075e-06,6.10753e-06,6.877192e-06,8.390695e-06,1.109425e-05,1.6534825e-05,2.301937e-05,2.672036e-05,2.92850475e-05
35,"CumDeath",6.6755205e-06,7.076189e-06,8.001149e-06,9.62403e-06,1.242545e-05,1.85907e-05,2.567829e-05,2.936123e-05,3.23827925e-05
36,"CumDeath",7.6748055e-06,8.080791e-06,9.095958e-06,1.0951275e-05,1.41107e-05,2.07204e-05,2.848136e-05,3.1876185e-05,3.56746575e-05
37,"CumDeath",8.7447595e-06,9.2740365e-06,1.0356e-05,1.2372325e-05,1.59232e-05,2.313135e-05,3.1288e-05,3.481449e-05,3.910082e-05
38,"CumDeath",9.951366e-06,1.049561e-05,1.178693e-05,1.38938e-05,1.768155e-05,2.5873875e-05,3.439432e-05,3.8158325e-05,4.2571765e-05
39,"CumDeath",1.130723e-05,1.180268e-05,1.320719e-05,1.5559525e-05,1.956105e-05,2.83182e-05,3.761126e-05,4.197734e-05,4.59167825e-05
40,"CumDeath",1.27395325e-05,1.313286e-05,1.479764e-05,1.7236275e-05,2.14874e-05,3.07684e-05,4.095899e-05,4.563341e-05,4.93603375e-05
41,"CumDeath",1.41824725e-05,1.461784e-05,1.645276e-05,1.909e-05,2.3509e-05,3.3741575e-05,4.452756e-05,4.885179e-05,5.296087e-05
42,"CumDeath",1.54793525e-05,1.623158e-05,1.798301e-05,2.103335e-05,2.57121e-05,3.657505e-05,4.801456e-05,5.2608945e-05,5.68658025e-05
43,"CumDeath",1.69275375e-05,1.7937385e-05,1.968542e-05,2.301975e-05,2.81241e-05,3.9293325e-05,5.14311e-05,5.659483e-05,6.1165585e-05
44,"CumDeath",1.85285e-05,1.9665445e-05,2.123867e-05,2.495755e-05,3.044815e-05,4.2035675e-05,5.485981e-05,6.056397e-05,6.55747625e-05
45,"CumDeath",2.00633325e-05,2.137617e-05,2.294025e-05,2.70077e-05,3.270385e-05,4.50632e-05,5.817291e-05,6.435101e-05,6.99764875e-05
46,"CumDeath",2.17523525e-05,2.326606e-05,2.492639e-05,2.89683e-05,3.516925e-05,4.81511e-05,6.193936e-05,6.791425e-05,7.431556e-05
47,"CumDeath",2.35520275e-05,2.5167245e-05,2.683952e-05,3.100505e-05,3.75352e-05,5.1264175e-05,6.573765e-05,7.2230265e-05,7.832418e-05
48,"CumDeath",2.52652875e-05,2.7043175e-05,2.880191e-05,3.309505e-05,3.99713e-05,5.4531725e-05,6.928317e-05,7.6012845e-05,8.231267e-05
49,"CumDeath",2.7081095e-05,2.871723e-05,3.08598e-05,3.5242925e-05,4.25432e-05,5.753325e-05,7.279409e-05,8.02294e-05,8.62745125e-05
50,"CumDeath",2.8927535e-05,3.0574585e-05,3.256651e-05,3.7399475e-05,4.516655e-05,6.0600975e-05,7.628215e-05,8.402708e-05,9.0189285e-05
51,"CumDeath",3.06982325e-05,3.2450995e-05,3.458928e-05,3.9581025e-05,4.783565e-05,6.3517375e-05,7.974653e-05,8.7868045e-05,9.39255325e-05
52,"CumDeath",3.2405605e-05,3.428625e-05,3.658063e-05,4.1841925e-05,5.052055e-05,6.6517225e-05,8.31802e-05,9.172289e-05,9.76298175e-05
53,"CumDeath",3.4115565e-05,3.606583e-05,3.861845e-05,4.4024175e-05,5.288575e-05,6.974175e-05,8.653948e-05,9.5522025e-05,0.00010153395
54,"CumDeath",3.582579e-05,3.783088e-05,4.057265e-05,4.621045e-05,5.53248e-05,7.2930125e-05,9.003121e-05,9.92640949999999e-05,0.00010524305
55,"CumDeath",3.75767625e-05,3.9706575e-05,4.236693e-05,4.8412025e-05,5.77884e-05,7.59121e-05,9.355229e-05,0.0001035508,0.000109429425
56,"CumDeath",3.937986e-05,4.1392345e-05,4.419497e-05,5.071615e-05,6.051755e-05,7.8737325e-05,9.692931e-05,0.00010790655,0.000113421275
57,"CumDeath",4.11105625e-05,4.307242e-05,4.617873e-05,5.301425e-05,6.29659e-05,8.14359e-05,0.0001001137,0.00011200015,0.00011727295
58,"CumDeath",4.27258125e-05,4.491075e-05,4.821884e-05,5.5098175e-05,6.54806e-05,8.4274425e-05,0.0001032283,0.00011563725,0.000121069425
59,"CumDeath",4.428026e-05,4.682043e-05,5.008325e-05,5.729735e-05,6.784055e-05,8.7238825e-05,0.0001063257,0.0001192029,0.00012479005
