"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,0
4,"CumDeath",0,0,0,0,0,0,0,0,0
5,"CumDeath",0,0,0,0,0,0,0,0,0
6,"CumDeath",0,0,0,0,0,0,0,0,0
7,"CumDeath",0,0,0,0,0,0,0,0,0
8,"CumDeath",0,0,0,0,0,0,0,0,0
9,"CumDeath",0,0,0,0,0,0,0,0,2.2690132499999e-11
10,"CumDeath",0,0,0,0,0,0,0,9.67127249999993e-10,2.30971974999998e-08
11,"CumDeath",0,0,0,0,0,0,1.26832200000001e-09,4.2659525e-08,9.41405074999999e-08
12,"CumDeath",0,0,0,0,0,0,4.29936900000001e-08,1.6757575e-07,3.02843275e-07
13,"CumDeath",0,0,0,0,0,2.55947e-08,1.421298e-07,3.184287e-07,5.212697e-07
14,"CumDeath",0,0,0,0,2.518285e-08,1.4526475e-07,3.501115e-07,5.68270749999998e-07,8.68498649999999e-07
15,"CumDeath",3.8781415e-10,1.8634315e-09,8.045407e-09,4.0358925e-08,1.406355e-07,3.360195e-07,6.497353e-07,9.90629699999998e-07,1.3615045e-06
16,"CumDeath",5.096075e-08,6.869995e-08,9.514349e-08,1.58789e-07,3.435065e-07,6.467605e-07,1.075235e-06,1.4827095e-06,1.89909325e-06
17,"CumDeath",1.2928755e-07,1.5288385e-07,2.083744e-07,3.15659e-07,6.096525e-07,1.040455e-06,1.615185e-06,2.1573895e-06,2.79430475e-06
18,"CumDeath",2.22116875e-07,2.7726355e-07,3.372126e-07,5.0791325e-07,9.19118e-07,1.4862125e-06,2.325224e-06,2.8929395e-06,3.68651025e-06
19,"CumDeath",3.36515525e-07,4.288701e-07,5.082456e-07,7.4877575e-07,1.27547e-06,2.011945e-06,3.151264e-06,3.95698e-06,4.61909775e-06
20,"CumDeath",4.92072675e-07,6.1943815e-07,7.143265e-07,1.054005e-06,1.71114e-06,2.66612e-06,4.062848e-06,5.1128205e-06,6.038942e-06
21,"CumDeath",6.9935365e-07,8.6075535e-07,9.957491e-07,1.4196125e-06,2.249425e-06,3.491765e-06,5.131066e-06,6.64297399999999e-06,7.86382274999999e-06
22,"CumDeath",9.89858575e-07,1.161017e-06,1.349005e-06,1.9121625e-06,2.96123e-06,4.4977825e-06,6.554038e-06,8.481108e-06,1.01399975e-05
23,"CumDeath",1.35587025e-06,1.5625865e-06,1.809297e-06,2.485255e-06,3.79821e-06,5.7843575e-06,8.535382e-06,1.0837225e-05,1.25126075e-05
24,"CumDeath",1.838407e-06,2.0886655e-06,2.37568e-06,3.27344e-06,4.851045e-06,7.320175e-06,1.102041e-05,1.358973e-05,1.61494025e-05
25,"CumDeath",2.44608875e-06,2.7746705e-06,3.111921e-06,4.2300075e-06,6.17693e-06,9.1918625e-06,1.402718e-05,1.7335465e-05,2.024439e-05
26,"CumDeath",3.2190575e-06,3.673098e-06,4.055606e-06,5.4239975e-06,7.8316e-06,1.15791e-05,1.755502e-05,2.14882e-05,2.5648875e-05
27,"CumDeath",4.21525e-06,4.8011325e-06,5.315553e-06,6.9501675e-06,9.88835e-06,1.42366e-05,2.249445e-05,2.6389075e-05,3.25755625e-05
28,"CumDeath",5.47384475e-06,6.1967375e-06,6.876905e-06,8.89605e-06,1.230045e-05,1.7490475e-05,2.780559e-05,3.257878e-05,4.04311e-05
29,"CumDeath",7.13045775e-06,7.9862465e-06,8.814341e-06,1.134365e-05,1.530695e-05,2.1388275e-05,3.408194e-05,4.1179025e-05,4.996315e-05
30,"CumDeath",9.1840905e-06,1.0180325e-05,1.120233e-05,1.4350075e-05,1.88243e-05,2.597165e-05,4.109781e-05,5.228076e-05,6.077397e-05
31,"CumDeath",1.1799745e-05,1.2930115e-05,1.428297e-05,1.79311e-05,2.31357e-05,3.1284725e-05,4.969168e-05,6.491327e-05,7.48945374999999e-05
32,"CumDeath",1.48044125e-05,1.6327665e-05,1.811628e-05,2.223255e-05,2.8154e-05,3.752115e-05,5.917014e-05,7.6666605e-05,9.03303225e-05
33,"CumDeath",1.87509225e-05,2.044247e-05,2.264359e-05,2.752605e-05,3.41185e-05,4.5009625e-05,7.01013e-05,9.00722499999999e-05,0.00011108445
34,"CumDeath",2.3239825e-05,2.538259e-05,2.807712e-05,3.37756e-05,4.097505e-05,5.3581725e-05,8.235487e-05,0.00011004415,0.0001359895
35,"CumDeath",2.84637475e-05,3.1166995e-05,3.401309e-05,4.05021e-05,4.9177e-05,6.3407175e-05,9.604134e-05,0.00012511395,0.00015886565
36,"CumDeath",3.466282e-05,3.7771715e-05,4.102596e-05,4.82524e-05,5.80667e-05,7.434815e-05,0.0001109965,0.0001413666,0.00018226735
37,"CumDeath",4.20069225e-05,4.4728835e-05,4.935895e-05,5.6999925e-05,6.78727e-05,8.61469e-05,0.0001271813,0.0001608961,0.0002037246
38,"CumDeath",5.041434e-05,5.3065765e-05,5.786239e-05,6.67388e-05,7.86882e-05,9.903225e-05,0.0001443525,0.0001793993,0.000224139225
39,"CumDeath",5.7701225e-05,6.223551e-05,6.749635e-05,7.7195375e-05,9.092495e-05,0.0001129895,0.0001625851,0.00020071075,0.000248082075
40,"CumDeath",6.73513375e-05,7.187671e-05,7.792497e-05,8.8810125e-05,0.000104075,0.00012734225,0.0001817624,0.0002227667,0.000273949775
41,"CumDeath",7.7001275e-05,8.332182e-05,8.82428e-05,0.000101112,0.0001177345,0.0001429145,0.0002017433,0.00024539405,0.00030272985
42,"CumDeath",8.645768e-05,9.395536e-05,0.00010012283,0.0001134725,0.00013159,0.00015927425,0.0002213384,0.00027068655,0.00033111575
43,"CumDeath",9.687547e-05,0.0001052667,0.0001117343,0.00012662575,0.0001467195,0.00017614325,0.0002423701,0.0002939868,0.000359047
44,"CumDeath",0.000108563775,0.0001169712,0.0001251555,0.0001401505,0.0001620485,0.00019441125,0.0002642556,0.00031728495,0.000387206975
45,"CumDeath",0.0001220394,0.0001300667,0.0001393171,0.00015441025,0.000178038,0.00021345925,0.000287059,0.00034049825,0.000415530375
46,"CumDeath",0.000134274625,0.0001411602,0.000152991,0.00017033925,0.000194356,0.000230263,0.0003084425,0.00036382875,0.00044277175
47,"CumDeath",0.00014722135,0.00015261815,0.0001672494,0.000185118,0.0002113405,0.00024928275,0.0003309344,0.0003895841,0.00046960045
48,"CumDeath",0.00016079595,0.0001660128,0.0001818479,0.00020131825,0.000228398,0.0002686675,0.0003536055,0.00041207425,0.000496391325
49,"CumDeath",0.00017332295,0.00018040735,0.0001968682,0.0002176255,0.000245808,0.00028816475,0.0003762676,0.00043448455,0.000523121075
50,"CumDeath",0.000185792425,0.00019352915,0.0002114694,0.00023348475,0.0002635535,0.00030738275,0.0003950849,0.000456783849999999,0.000549771375
51,"CumDeath",0.00019812265,0.00020967235,0.0002263904,0.000249284,0.000281094,0.000326757,0.0004136854,0.000482502849999999,0.00057812
52,"CumDeath",0.000211733725,0.0002260558,0.0002422976,0.000265582,0.0002990485,0.00034628975,0.0004361578,0.000508749349999999,0.00060690335
53,"CumDeath",0.00022547445,0.00024023,0.0002562988,0.00028285325,0.0003180255,0.00036606275,0.0004583731,0.0005373123,0.000635527275
54,"CumDeath",0.000238844625,0.00025458435,0.0002723339,0.00029972275,0.0003367775,0.0003853985,0.0004814503,0.00056300285,0.000663945875
55,"CumDeath",0.00025339205,0.00026891845,0.0002874998,0.0003171745,0.000355161,0.0004055,0.0005026647,0.0005862913,0.00069212795
56,"CumDeath",0.0002672687,0.00028507965,0.0003031285,0.00033503075,0.0003731325,0.0004257055,0.0005236378,0.000611746,0.000718677
57,"CumDeath",0.0002809933,0.0003014008,0.000318605,0.0003529125,0.000391717,0.0004460995,0.0005442625,0.0006369753,0.00074471405
58,"CumDeath",0.0002948203,0.0003172356,0.0003345876,0.00037080275,0.000411309,0.00046674025,0.0005650306,0.00065928735,0.000770461375
59,"CumDeath",0.000309987625,0.00033130205,0.0003511171,0.00038836725,0.0004296535,0.00048720875,0.0005874113,0.00068115335,0.00079589475
60,"CumDeath",0.0003243702,0.0003461432,0.000366499,0.00040632925,0.0004479325,0.00050635975,0.0006096282,0.00070276215,0.000821009425
61,"CumDeath",0.000338422875,0.0003603802,0.0003823814,0.0004240465,0.000467272,0.00052548125,0.0006316549,0.000724097599999999,0.000845787824999999
62,"CumDeath",0.0003526301,0.0003766303,0.0003983678,0.00044096925,0.0004864025,0.0005459575,0.000653463,0.000745140599999999,0.000870213874999999
63,"CumDeath",0.00036690865,0.00039235145,0.0004149057,0.00045829475,0.0005047435,0.000564715,0.0006750201,0.000766768249999999,0.000893099549999999
64,"CumDeath",0.000381380575,0.00040855625,0.0004311224,0.00047570025,0.0005222195,0.0005837725,0.000696301,0.000788493899999999,0.000915185875
