"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,0
4,"CumDeath",0,0,0,0,0,0,0,3.26757699999998e-10,3.22579549999996e-09
5,"CumDeath",0,0,0,0,0,0,2.074322e-09,6.56112049999999e-09,1.4661785e-08
6,"CumDeath",0,0,0,0,0,1.3831975e-09,1.042704e-08,2.21899549999999e-08,3.70941174999999e-08
7,"CumDeath",0,0,0,0,0,7.3762e-09,2.525541e-08,4.300051e-08,6.75083474999999e-08
8,"CumDeath",0,0,0,0,6.70392e-10,1.66924e-08,4.623246e-08,6.830094e-08,9.54160374999999e-08
9,"CumDeath",0,0,0,0,5.127425e-09,3.060455e-08,7.142992e-08,9.948856e-08,1.2974825e-07
10,"CumDeath",0,0,0,0,1.20014e-08,4.82003e-08,9.868398e-08,1.3294495e-07,1.607038e-07
11,"CumDeath",0,0,0,1.07315e-09,2.389385e-08,6.954375e-08,1.259307e-07,1.6765835e-07,2.03806525e-07
12,"CumDeath",0,0,0,7.4055825e-09,3.830585e-08,8.94732e-08,1.552369e-07,2.0464435e-07,2.56058025e-07
13,"CumDeath",0,7.2522915e-10,5.156032e-09,1.9400175e-08,5.51071e-08,1.1835625e-07,1.892066e-07,2.379876e-07,3.02279e-07
14,"CumDeath",3.072406e-09,7.5804105e-09,1.666806e-08,3.819415e-08,7.99064e-08,1.4803825e-07,2.296393e-07,2.9278575e-07,3.4716825e-07
15,"CumDeath",1.35879275e-08,1.821971e-08,2.916375e-08,5.948565e-08,1.08198e-07,1.7763175e-07,2.684914e-07,3.4432995e-07,3.98463925e-07
16,"CumDeath",2.37176675e-08,3.074666e-08,4.300874e-08,8.005275e-08,1.422455e-07,2.3001075e-07,3.238767e-07,4.1136485e-07,4.5566405e-07
17,"CumDeath",3.71228225e-08,4.7581795e-08,5.937244e-08,1.0240425e-07,1.713875e-07,2.65751e-07,3.883322e-07,4.820968e-07,5.5440225e-07
18,"CumDeath",5.1175115e-08,6.5875385e-08,8.124879e-08,1.270345e-07,2.079755e-07,3.1930475e-07,4.587909e-07,5.486983e-07,6.5800995e-07
19,"CumDeath",7.1059065e-08,8.4751205e-08,1.048604e-07,1.5522725e-07,2.482295e-07,3.8123525e-07,5.307172e-07,6.3591775e-07,7.54116749999999e-07
20,"CumDeath",8.8028175e-08,1.0988765e-07,1.297566e-07,1.8981525e-07,2.90605e-07,4.3929475e-07,6.313981e-07,7.55090049999999e-07,8.9831895e-07
21,"CumDeath",1.13864625e-07,1.382696e-07,1.600301e-07,2.350815e-07,3.518665e-07,5.0735325e-07,7.324514e-07,8.78855099999999e-07,1.0524185e-06
22,"CumDeath",1.39040025e-07,1.6832495e-07,1.940236e-07,2.8353625e-07,4.136935e-07,5.9555775e-07,8.280396e-07,1.0271595e-06,1.1993005e-06
23,"CumDeath",1.659444e-07,2.0328275e-07,2.372137e-07,3.34798e-07,4.96464e-07,6.9960475e-07,9.906348e-07,1.208651e-06,1.40582075e-06
24,"CumDeath",2.0533045e-07,2.4054455e-07,2.920414e-07,3.978745e-07,5.816595e-07,8.2129825e-07,1.154407e-06,1.386721e-06,1.63359575e-06
25,"CumDeath",2.543831e-07,2.9215505e-07,3.603726e-07,4.7748675e-07,6.83391e-07,9.49796e-07,1.375267e-06,1.603922e-06,1.897767e-06
26,"CumDeath",3.1411485e-07,3.584459e-07,4.400344e-07,5.673885e-07,8.19506e-07,1.1095375e-06,1.587681e-06,1.848342e-06,2.20668025e-06
27,"CumDeath",3.890882e-07,4.326999e-07,5.250419e-07,6.717195e-07,9.452715e-07,1.300555e-06,1.853556e-06,2.169574e-06,2.54966175e-06
28,"CumDeath",4.795723e-07,5.2998275e-07,6.371987e-07,8.03654e-07,1.10934e-06,1.52466e-06,2.171976e-06,2.5246235e-06,2.92477825e-06
29,"CumDeath",5.77284825e-07,6.4416945e-07,7.708491e-07,9.659965e-07,1.300655e-06,1.80225e-06,2.456863e-06,2.968275e-06,3.34932325e-06
30,"CumDeath",7.111916e-07,7.8857435e-07,9.139341e-07,1.12729e-06,1.53119e-06,2.1260625e-06,2.902017e-06,3.461437e-06,3.912115e-06
31,"CumDeath",8.700145e-07,9.5485715e-07,1.081519e-06,1.32677e-06,1.75863e-06,2.5014375e-06,3.349326e-06,4.009527e-06,4.56680925e-06
32,"CumDeath",1.0517945e-06,1.146077e-06,1.268925e-06,1.5588025e-06,2.029695e-06,2.9324775e-06,3.967263e-06,4.531748e-06,5.206139e-06
33,"CumDeath",1.247074e-06,1.372209e-06,1.498404e-06,1.805535e-06,2.334575e-06,3.4525425e-06,4.540667e-06,5.1647025e-06,5.9547755e-06
34,"CumDeath",1.48729525e-06,1.6258835e-06,1.740474e-06,2.0655675e-06,2.66525e-06,4.0198325e-06,5.236162e-06,5.948264e-06,6.76866849999999e-06
35,"CumDeath",1.7552755e-06,1.876485e-06,2.029012e-06,2.360615e-06,3.030335e-06,4.6389175e-06,5.941392e-06,6.863201e-06,7.61307325e-06
36,"CumDeath",2.04043725e-06,2.175201e-06,2.348384e-06,2.69916e-06,3.425425e-06,5.2847125e-06,6.750586e-06,7.8886445e-06,8.5714705e-06
37,"CumDeath",2.338581e-06,2.4933065e-06,2.687485e-06,3.060735e-06,3.8468e-06,5.9914025e-06,7.679387e-06,8.7463515e-06,9.57110725e-06
38,"CumDeath",2.68063775e-06,2.8370455e-06,3.038626e-06,3.4450125e-06,4.279015e-06,6.750295e-06,8.639615e-06,9.794454e-06,1.05327325e-05
39,"CumDeath",3.03985725e-06,3.2247255e-06,3.439238e-06,3.877245e-06,4.734785e-06,7.5653875e-06,9.609048e-06,1.091381e-05,1.1821485e-05
40,"CumDeath",3.42466825e-06,3.6370255e-06,3.861125e-06,4.3259675e-06,5.232485e-06,8.4616025e-06,1.067754e-05,1.195062e-05,1.31117425e-05
41,"CumDeath",3.83541875e-06,4.0411665e-06,4.310028e-06,4.792675e-06,5.7592e-06,9.4794775e-06,1.177945e-05,1.3107905e-05,1.4396365e-05
42,"CumDeath",4.28523575e-06,4.52813e-06,4.781791e-06,5.27858e-06,6.33889e-06,1.043885e-05,1.286354e-05,1.4320865e-05,1.5704965e-05
43,"CumDeath",4.75703925e-06,5.0114935e-06,5.281261e-06,5.810025e-06,6.965965e-06,1.142685e-05,1.413321e-05,1.5559685e-05,1.711345e-05
44,"CumDeath",5.25021175e-06,5.4981315e-06,5.796019e-06,6.3589425e-06,7.6083e-06,1.244485e-05,1.539288e-05,1.6830685e-05,1.85801e-05
45,"CumDeath",5.76369675e-06,6.0227265e-06,6.314225e-06,6.9345625e-06,8.2669e-06,1.3529e-05,1.660316e-05,1.813516e-05,2.0151565e-05
46,"CumDeath",6.32228225e-06,6.601824e-06,6.897452e-06,7.558525e-06,8.951935e-06,1.465835e-05,1.79689e-05,1.945273e-05,2.18180475e-05
47,"CumDeath",6.8968625e-06,7.1884875e-06,7.477797e-06,8.179485e-06,9.661475e-06,1.5763925e-05,1.923951e-05,2.081728e-05,2.3452995e-05
48,"CumDeath",7.4828095e-06,7.792608e-06,8.094738e-06,8.85013e-06,1.03744e-05,1.6840975e-05,2.054538e-05,2.2326845e-05,2.50344975e-05
49,"CumDeath",8.1008385e-06,8.420419e-06,8.725951e-06,9.51158e-06,1.11372e-05,1.8013225e-05,2.183855e-05,2.394652e-05,2.647106e-05
50,"CumDeath",8.700669e-06,9.071523e-06,9.385311e-06,1.0204775e-05,1.19012e-05,1.92415e-05,2.321261e-05,2.5385555e-05,2.80521825e-05
51,"CumDeath",9.318631e-06,9.7389345e-06,1.006882e-05,1.097035e-05,1.268405e-05,2.053925e-05,2.457389e-05,2.67331e-05,2.96257025e-05
52,"CumDeath",9.975665e-06,1.043769e-05,1.078182e-05,1.172455e-05,1.34787e-05,2.1754425e-05,2.594359e-05,2.804403e-05,3.11652475e-05
53,"CumDeath",1.0671245e-05,1.1115515e-05,1.153993e-05,1.2475525e-05,1.43155e-05,2.299175e-05,2.750833e-05,2.932091e-05,3.26970625e-05
54,"CumDeath",1.14059225e-05,1.188159e-05,1.227448e-05,1.32666e-05,1.52122e-05,2.43083e-05,2.886708e-05,3.0720605e-05,3.42193375e-05
55,"CumDeath",1.2162675e-05,1.261354e-05,1.299019e-05,1.40889e-05,1.611895e-05,2.55044e-05,3.026814e-05,3.2167835e-05,3.57301375e-05
56,"CumDeath",1.293037e-05,1.336985e-05,1.377058e-05,1.491885e-05,1.701845e-05,2.672575e-05,3.171716e-05,3.359698e-05,3.72311375e-05
57,"CumDeath",1.36663725e-05,1.4146735e-05,1.463127e-05,1.577595e-05,1.79523e-05,2.7930675e-05,3.302753e-05,3.5007195e-05,3.87202075e-05
