"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,0
4,"CumDeath",0,0,0,0,0,0,0,0,0
5,"CumDeath",0,0,0,0,0,0,0,0,0
6,"CumDeath",0,0,0,0,0,0,0,0,0
7,"CumDeath",0,0,0,0,0,0,0,0,0
8,"CumDeath",0,0,0,0,0,0,0,0,0
9,"CumDeath",0,0,0,0,0,0,0,0,0
10,"CumDeath",0,0,0,0,0,0,0,0,0
11,"CumDeath",0,0,0,0,0,0,0,0,0
12,"CumDeath",0,0,0,0,0,0,3.16805e-10,2.03396649999999e-09,4.41287899999999e-09
13,"CumDeath",0,0,0,0,8.523315e-11,2.09309e-09,6.279579e-09,1.065922e-08,1.513573e-08
14,"CumDeath",0,0,0,1.5204775e-09,4.849625e-09,1.00079975e-08,1.724881e-08,2.457e-08,3.22241425e-08
15,"CumDeath",2.03987025e-10,9.216884e-10,3.521763e-09,7.5931275e-09,1.25978e-08,2.1663075e-08,3.368088e-08,4.2387995e-08,5.72173874999999e-08
16,"CumDeath",5.0136845e-09,6.5593385e-09,9.906061e-09,1.5945275e-08,2.395695e-08,3.7596125e-08,5.659512e-08,6.74524399999998e-08,9.15854249999999e-08
17,"CumDeath",1.15817075e-08,1.429806e-08,1.856056e-08,2.6725825e-08,3.96312e-08,5.9604375e-08,8.576191e-08,1.0739695e-07,1.39493075e-07
18,"CumDeath",2.0537495e-08,2.4302335e-08,2.997832e-08,4.3015625e-08,6.06701e-08,9.0717725e-08,1.27058e-07,1.5654035e-07,1.9811025e-07
19,"CumDeath",3.31209525e-08,3.866909e-08,4.660115e-08,6.6088125e-08,9.121505e-08,1.338795e-07,1.838946e-07,2.2498935e-07,2.8073025e-07
20,"CumDeath",5.11360025e-08,5.9929545e-08,7.171639e-08,9.9138825e-08,1.346515e-07,1.9517375e-07,2.623697e-07,3.207841e-07,3.94484525e-07
21,"CumDeath",7.78623375e-08,9.086534e-08,1.075466e-07,1.4823625e-07,1.9709e-07,2.8023375e-07,3.711933e-07,4.517593e-07,5.5461745e-07
22,"CumDeath",1.1735775e-07,1.3508585e-07,1.603797e-07,2.1852375e-07,2.84637e-07,3.961495e-07,5.190725e-07,6.24018799999999e-07,7.68937749999999e-07
23,"CumDeath",1.78706175e-07,2.0894285e-07,2.396974e-07,3.18414e-07,4.1048e-07,5.6830375e-07,7.252926e-07,8.9387415e-07,1.0485825e-06
24,"CumDeath",2.64685e-07,3.0438935e-07,3.559039e-07,4.5931425e-07,5.921915e-07,7.9788675e-07,1.011608e-06,1.253112e-06,1.44000225e-06
25,"CumDeath",3.87362675e-07,4.5334235e-07,5.257063e-07,6.652175e-07,8.45558e-07,1.120735e-06,1.405389e-06,1.7569385e-06,1.9911765e-06
26,"CumDeath",5.64933e-07,6.6673005e-07,7.593889e-07,9.6235975e-07,1.21095e-06,1.5727175e-06,1.96362e-06,2.4583355e-06,2.70743575e-06
27,"CumDeath",8.26274175e-07,9.710014e-07,1.097317e-06,1.38098e-06,1.725655e-06,2.178475e-06,2.742583e-06,3.3724365e-06,3.660712e-06
28,"CumDeath",1.20239625e-06,1.3948215e-06,1.567414e-06,1.98447e-06,2.44164e-06,3.0401025e-06,3.717411e-06,4.564552e-06,4.98193775e-06
29,"CumDeath",1.73480025e-06,2.017742e-06,2.265594e-06,2.82386e-06,3.436615e-06,4.1990025e-06,5.092436e-06,6.1421775e-06,6.71993675e-06
30,"CumDeath",2.48750875e-06,2.8372695e-06,3.262155e-06,3.973265e-06,4.792075e-06,5.7314625e-06,6.983405e-06,8.20804e-06,8.88672725e-06
31,"CumDeath",3.544515e-06,3.968553e-06,4.605044e-06,5.535085e-06,6.567145e-06,7.7889175e-06,9.484288e-06,1.0696245e-05,1.16435025e-05
32,"CumDeath",4.96001275e-06,5.4643075e-06,6.409821e-06,7.68439e-06,8.928765e-06,1.0465525e-05,1.251267e-05,1.4021295e-05,1.50337975e-05
33,"CumDeath",6.80541275e-06,7.5033645e-06,8.849335e-06,1.0371425e-05,1.19999e-05,1.38638e-05,1.601673e-05,1.753044e-05,1.8495645e-05
34,"CumDeath",9.13378675e-06,1.008258e-05,1.184078e-05,1.3807825e-05,1.5799e-05,1.7845475e-05,1.993043e-05,2.156282e-05,2.28652425e-05
35,"CumDeath",1.2329835e-05,1.3360705e-05,1.564763e-05,1.79175e-05,2.013605e-05,2.2501525e-05,2.466911e-05,2.6175125e-05,2.73742725e-05
36,"CumDeath",1.60647875e-05,1.7372245e-05,2.015372e-05,2.2974575e-05,2.523895e-05,2.770795e-05,2.980538e-05,3.072398e-05,3.241994e-05
37,"CumDeath",2.06815525e-05,2.2099735e-05,2.559184e-05,2.820235e-05,3.09031e-05,3.34958e-05,3.555611e-05,3.6624725e-05,3.7701095e-05
38,"CumDeath",2.62894625e-05,2.754553e-05,3.061814e-05,3.38106e-05,3.690905e-05,3.95954e-05,4.201049e-05,4.319755e-05,4.444199e-05
39,"CumDeath",3.18504725e-05,3.369516e-05,3.542491e-05,3.9494e-05,4.27211e-05,4.5862525e-05,4.899762e-05,5.0236895e-05,5.12830125e-05
40,"CumDeath",3.769159e-05,3.8598285e-05,4.096346e-05,4.4837875e-05,4.85449e-05,5.21466e-05,5.545036e-05,5.692278e-05,5.822962e-05
41,"CumDeath",4.2045895e-05,4.406245e-05,4.626787e-05,4.9954475e-05,5.46774e-05,5.8444875e-05,6.212082e-05,6.407999e-05,6.52639575e-05
42,"CumDeath",4.60490325e-05,4.832883e-05,5.129772e-05,5.533745e-05,6.049975e-05,6.492155e-05,6.911604e-05,7.108331e-05,7.304705e-05
43,"CumDeath",5.046241e-05,5.249815e-05,5.593481e-05,6.06631e-05,6.67892e-05,7.1431725e-05,7.615062e-05,7.905718e-05,8.107238e-05
44,"CumDeath",5.49315225e-05,5.643056e-05,6.067755e-05,6.603075e-05,7.261065e-05,7.831025e-05,8.307038e-05,8.661471e-05,8.97922625e-05
45,"CumDeath",5.921373e-05,6.079571e-05,6.559516e-05,7.138575e-05,7.85235e-05,8.49582e-05,9.010175e-05,9.4137625e-05,9.713605e-05
46,"CumDeath",6.35008175e-05,6.531351e-05,7.057655e-05,7.67348e-05,8.47321e-05,9.146805e-05,9.762472e-05,0.0001016727,0.000104797
47,"CumDeath",6.78090825e-05,7.0074005e-05,7.523928e-05,8.16808e-05,9.081e-05,9.7936875e-05,0.0001051126,0.00010953095,0.000112661325
48,"CumDeath",7.226537e-05,7.471194e-05,8.001537e-05,8.7057825e-05,9.67533e-05,0.0001045035,0.0001123262,0.00011700915,0.000120274175
49,"CumDeath",7.6601595e-05,7.9086045e-05,8.504077e-05,9.276875e-05,0.0001025635,0.00011103075,0.00011953,0.0001248402,0.000127893725
50,"CumDeath",8.10357025e-05,8.3532355e-05,9.016772e-05,9.803655e-05,0.000108475,0.00011767475,0.0001265287,0.00013286335,0.000136026
51,"CumDeath",8.561004e-05,8.822778e-05,9.517909e-05,0.0001034545,0.0001145735,0.00012441575,0.000134225,0.0001406682,0.000143936625
52,"CumDeath",9.016965e-05,9.313841e-05,0.00010004023,0.00010903025,0.000120785,0.00013125775,0.0001412025,0.0001489547,0.00015235695
53,"CumDeath",9.474896e-05,9.795302e-05,0.0001049834,0.0001146315,0.00012671,0.00013791075,0.0001489338,0.0001570514,0.000160801625
54,"CumDeath",9.926937e-05,0.00010287035,0.0001102352,0.000120342,0.000132846,0.000144532,0.0001564009,0.00016507775,0.0001692823
55,"CumDeath",0.00010386225,0.0001079056,0.000115388,0.00012589775,0.000139115,0.000151067,0.0001647212,0.00017297895,0.00017802895
56,"CumDeath",0.000108521925,0.0001127547,0.0001209672,0.00013181225,0.000145543,0.0001577575,0.0001721582,0.000180543,0.0001868009
57,"CumDeath",0.000113531775,0.00011757305,0.000126427,0.0001377935,0.0001517705,0.00016435825,0.0001800311,0.00018828815,0.000195283175
58,"CumDeath",0.000118564475,0.00012290445,0.0001314892,0.000143717,0.0001582195,0.00017100725,0.000187867,0.00019678425,0.0002039507
59,"CumDeath",0.000123691725,0.00012863445,0.0001368918,0.0001495245,0.000164568,0.0001779065,0.0001957876,0.00020461675,0.0002126985
60,"CumDeath",0.00012883905,0.0001342924,0.0001427612,0.0001555335,0.0001708565,0.0001845955,0.0002036535,0.0002124494,0.000221427825
61,"CumDeath",0.000134230175,0.000139883,0.000148477,0.0001616905,0.000177487,0.00019144625,0.0002113691,0.000220298,0.000229862525
62,"CumDeath",0.0001396874,0.00014556705,0.0001539644,0.00016776775,0.000183973,0.00019825475,0.0002185594,0.0002281657,0.000238152275
63,"CumDeath",0.00014497275,0.000151348,0.0001598661,0.00017388075,0.000190432,0.00020507075,0.0002263258,0.0002360505,0.000246422025
