"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,0
4,"CumDeath",0,0,0,0,0,0,0,0,0
5,"CumDeath",0,0,0,0,0,0,0,0,0
6,"CumDeath",0,0,0,0,0,0,0,0,0
7,"CumDeath",0,0,0,0,0,0,0,0,1.71360624999999e-09
8,"CumDeath",0,0,0,0,0,0,0,2.96841699999999e-09,1.499936e-08
9,"CumDeath",0,0,0,0,0,0,2.21801e-09,1.4530635e-08,4.363206e-08
10,"CumDeath",0,0,0,0,0,0,1.097154e-08,3.3025785e-08,8.91794849999999e-08
11,"CumDeath",0,0,0,0,0,1.5195275e-10,2.916998e-08,5.89179849999999e-08,1.41289975e-07
12,"CumDeath",0,0,0,0,0,7.2802825e-09,5.506465e-08,9.66892899999998e-08,1.92043725e-07
13,"CumDeath",0,0,0,0,2.62317e-10,2.4550475e-08,9.54428200000001e-08,1.479262e-07,2.4749275e-07
14,"CumDeath",0,0,0,0,9.203385e-09,5.351515e-08,1.394998e-07,2.161672e-07,3.12349225e-07
15,"CumDeath",4.43929125e-11,1.86633e-10,6.3659e-10,5.28598e-09,2.9045e-08,9.3591225e-08,2.077577e-07,2.939553e-07,3.89839425e-07
16,"CumDeath",6.6450095e-09,8.770561e-09,1.210948e-08,2.4825775e-08,6.133495e-08,1.4031825e-07,2.807079e-07,3.893736e-07,4.8556945e-07
17,"CumDeath",2.02174125e-08,2.599056e-08,3.292424e-08,5.462445e-08,1.041185e-07,2.0098575e-07,3.668441e-07,4.95885e-07,6.23390925e-07
18,"CumDeath",3.96492075e-08,4.764637e-08,6.010762e-08,9.35349e-08,1.55674e-07,2.79009e-07,4.57497e-07,6.054161e-07,7.86484325e-07
19,"CumDeath",6.44984325e-08,7.6084945e-08,9.65427e-08,1.4148075e-07,2.222315e-07,3.61283e-07,5.683383e-07,7.2976935e-07,9.57518175e-07
20,"CumDeath",9.09140825e-08,1.113491e-07,1.399612e-07,1.94621e-07,2.933585e-07,4.6209175e-07,7.012324e-07,8.69181949999999e-07,1.13228025e-06
21,"CumDeath",1.25459325e-07,1.553988e-07,1.892021e-07,2.60346e-07,3.786295e-07,5.751905e-07,8.460851e-07,1.026919e-06,1.31714925e-06
22,"CumDeath",1.68588975e-07,2.0709945e-07,2.450609e-07,3.3916975e-07,4.808835e-07,7.0100925e-07,1.034267e-06,1.228408e-06,1.518398e-06
23,"CumDeath",2.20960875e-07,2.676399e-07,3.088561e-07,4.25239e-07,5.981435e-07,8.475855e-07,1.227648e-06,1.476248e-06,1.759407e-06
24,"CumDeath",2.83181525e-07,3.375394e-07,3.927561e-07,5.3416925e-07,7.301275e-07,1.0117975e-06,1.461898e-06,1.694416e-06,2.0435195e-06
25,"CumDeath",3.58423e-07,4.197139e-07,4.805976e-07,6.5075125e-07,8.779795e-07,1.1937375e-06,1.704775e-06,1.9731735e-06,2.341082e-06
26,"CumDeath",4.439901e-07,5.161039e-07,5.901253e-07,7.8134225e-07,1.04338e-06,1.4230575e-06,1.965333e-06,2.2962665e-06,2.66931425e-06
27,"CumDeath",5.5176115e-07,6.2590825e-07,7.193346e-07,9.3211225e-07,1.234285e-06,1.6501625e-06,2.243381e-06,2.63226e-06,3.01671375e-06
28,"CumDeath",6.84039125e-07,7.6088395e-07,8.669192e-07,1.1033625e-06,1.45012e-06,1.918075e-06,2.583199e-06,2.986064e-06,3.41168425e-06
29,"CumDeath",8.48079275e-07,9.187598e-07,1.038096e-06,1.2969825e-06,1.700075e-06,2.2256375e-06,2.95085e-06,3.3885505e-06,3.8433115e-06
30,"CumDeath",1.02473725e-06,1.1025145e-06,1.227309e-06,1.5250425e-06,1.9653e-06,2.543055e-06,3.346367e-06,3.8832725e-06,4.30756775e-06
31,"CumDeath",1.20672025e-06,1.31258e-06,1.457389e-06,1.7799075e-06,2.271935e-06,2.918355e-06,3.772575e-06,4.4243465e-06,4.806348e-06
32,"CumDeath",1.4117695e-06,1.56104e-06,1.705434e-06,2.0680525e-06,2.612695e-06,3.32499e-06,4.243534e-06,5.0088415e-06,5.334508e-06
33,"CumDeath",1.67185475e-06,1.840079e-06,1.977144e-06,2.3823775e-06,2.975835e-06,3.797555e-06,4.78362e-06,5.516622e-06,5.909671e-06
34,"CumDeath",1.95938675e-06,2.128144e-06,2.285356e-06,2.73613e-06,3.396115e-06,4.255845e-06,5.3288e-06,6.0430825e-06,6.54374975e-06
35,"CumDeath",2.253095e-06,2.443822e-06,2.61178e-06,3.114835e-06,3.856425e-06,4.7719925e-06,5.904577e-06,6.6627955e-06,7.25547475e-06
36,"CumDeath",2.58644375e-06,2.810742e-06,2.986748e-06,3.5330075e-06,4.36278e-06,5.3497475e-06,6.467392e-06,7.286026e-06,8.030459e-06
37,"CumDeath",2.93138525e-06,3.1728825e-06,3.391927e-06,3.9683525e-06,4.90193e-06,5.93599e-06,7.164726e-06,7.9345285e-06,8.74129975e-06
38,"CumDeath",3.318263e-06,3.564083e-06,3.825016e-06,4.4423225e-06,5.42021e-06,6.51569e-06,7.810616e-06,8.6331395e-06,9.475542e-06
39,"CumDeath",3.73215675e-06,3.9631255e-06,4.297103e-06,4.9503475e-06,5.97014e-06,7.1599675e-06,8.529171e-06,9.435104e-06,1.02114625e-05
40,"CumDeath",4.14254725e-06,4.3836035e-06,4.769222e-06,5.466585e-06,6.52077e-06,7.79266e-06,9.262699e-06,1.0256905e-05,1.097792e-05
41,"CumDeath",4.60772e-06,4.857125e-06,5.259401e-06,5.95093e-06,7.077765e-06,8.4728175e-06,1.00935e-05,1.104403e-05,1.18263975e-05
42,"CumDeath",5.07334275e-06,5.305771e-06,5.757152e-06,6.4831025e-06,7.668885e-06,9.1972975e-06,1.086009e-05,1.1768915e-05,1.27408325e-05
43,"CumDeath",5.5289305e-06,5.758097e-06,6.284823e-06,7.0695475e-06,8.25675e-06,9.939355e-06,1.167952e-05,1.257713e-05,1.37016075e-05
44,"CumDeath",5.9844305e-06,6.2236165e-06,6.802121e-06,7.66019e-06,8.883995e-06,1.0639225e-05,1.247819e-05,1.352102e-05,1.46126275e-05
45,"CumDeath",6.4480315e-06,6.7112585e-06,7.338536e-06,8.2618e-06,9.518085e-06,1.1364425e-05,1.326091e-05,1.452244e-05,1.5646635e-05
46,"CumDeath",6.9397765e-06,7.2290915e-06,7.891429e-06,8.87384e-06,1.018615e-05,1.2101125e-05,1.405614e-05,1.544028e-05,1.656452e-05
47,"CumDeath",7.413033e-06,7.7367875e-06,8.446602e-06,9.4681625e-06,1.087465e-05,1.288555e-05,1.493147e-05,1.6351035e-05,1.75459525e-05
48,"CumDeath",7.88937275e-06,8.2487675e-06,8.895993e-06,1.007955e-05,1.161235e-05,1.36578e-05,1.5787e-05,1.7346105e-05,1.85778625e-05
49,"CumDeath",8.33716125e-06,8.791689e-06,9.524047e-06,1.0730425e-05,1.231405e-05,1.435595e-05,1.677077e-05,1.813933e-05,1.9578885e-05
50,"CumDeath",8.79915625e-06,9.321799e-06,1.0004363e-05,1.1338775e-05,1.299235e-05,1.51968e-05,1.76844e-05,1.909301e-05,2.0615625e-05
51,"CumDeath",9.27954e-06,9.852343e-06,1.054497e-05,1.201895e-05,1.36537e-05,1.590295e-05,1.851457e-05,1.991925e-05,2.16242825e-05
52,"CumDeath",9.764329e-06,1.040632e-05,1.112314e-05,1.27131e-05,1.43593e-05,1.667525e-05,1.931766e-05,2.075671e-05,2.26002375e-05
53,"CumDeath",1.02531275e-05,1.1016915e-05,1.164108e-05,1.3335225e-05,1.500955e-05,1.7472875e-05,2.021131e-05,2.167509e-05,2.3545165e-05
54,"CumDeath",1.074333e-05,1.154136e-05,1.2197e-05,1.394145e-05,1.57037e-05,1.8260125e-05,2.108909e-05,2.2615525e-05,2.45541e-05
55,"CumDeath",1.12371975e-05,1.2029655e-05,1.274916e-05,1.4550375e-05,1.64391e-05,1.91033e-05,2.193655e-05,2.3587625e-05,2.55974825e-05
56,"CumDeath",1.1752465e-05,1.2515515e-05,1.328707e-05,1.5101175e-05,1.71744e-05,1.991655e-05,2.274405e-05,2.4555295e-05,2.66270175e-05
57,"CumDeath",1.2305915e-05,1.302319e-05,1.384994e-05,1.5695575e-05,1.79037e-05,2.0741525e-05,2.359432e-05,2.53812e-05,2.75230925e-05
58,"CumDeath",1.28643375e-05,1.3531305e-05,1.439041e-05,1.6289925e-05,1.862505e-05,2.1532125e-05,2.446052e-05,2.633653e-05,2.84128425e-05
59,"CumDeath",1.34023e-05,1.405292e-05,1.495392e-05,1.6883825e-05,1.93194e-05,2.232995e-05,2.537714e-05,2.7358405e-05,2.92899025e-05
