"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,0
4,"CumDeath",0,0,0,0,0,0,0,0,0
5,"CumDeath",0,0,0,0,0,0,0,2.52321099999997e-09,1.39663299999999e-08
6,"CumDeath",0,0,0,0,0,0,2.213766e-08,5.16479799999998e-08,1.1382035e-07
7,"CumDeath",0,0,0,0,0,9.97369e-09,1.213757e-07,1.9149645e-07,2.78151625e-07
8,"CumDeath",0,0,0,0,0,9.7717775e-08,2.712446e-07,4.398693e-07,5.058942e-07
9,"CumDeath",0,0,0,0,3.975805e-08,2.5288775e-07,5.005749e-07,7.148873e-07,8.19585649999999e-07
10,"CumDeath",0,0,0,1.829795e-09,1.78313e-07,4.7749425e-07,8.160389e-07,1.063542e-06,1.2298835e-06
11,"CumDeath",0,0,0,1.1763725e-07,3.95047e-07,7.8397925e-07,1.195282e-06,1.4613275e-06,1.74045675e-06
12,"CumDeath",0,0,4.94163e-08,3.312985e-07,6.623185e-07,1.1743925e-06,1.681321e-06,1.96089e-06,2.35963725e-06
13,"CumDeath",0,1.11485655e-07,2.551995e-07,5.804195e-07,1.004315e-06,1.674925e-06,2.271672e-06,2.69052e-06,3.09168425e-06
14,"CumDeath",7.264178e-08,2.662608e-07,5.088506e-07,9.0705525e-07,1.442225e-06,2.2497875e-06,2.987383e-06,3.464588e-06,4.07190425e-06
15,"CumDeath",3.1057775e-07,5.155971e-07,8.053705e-07,1.32109e-06,2.024985e-06,2.9765325e-06,3.877688e-06,4.5450815e-06,5.151116e-06
16,"CumDeath",5.7346365e-07,8.2944565e-07,1.161939e-06,1.8502675e-06,2.70949e-06,3.8970775e-06,5.0289e-06,5.793634e-06,6.5410805e-06
17,"CumDeath",9.20280575e-07,1.224545e-06,1.626489e-06,2.4877625e-06,3.567435e-06,5.04237e-06,6.449331e-06,7.33165e-06,8.317242e-06
18,"CumDeath",1.39275825e-06,1.6997335e-06,2.223137e-06,3.3282775e-06,4.602905e-06,6.33225e-06,8.136698e-06,9.130126e-06,1.020729e-05
19,"CumDeath",1.84493725e-06,2.30561e-06,2.971894e-06,4.3856275e-06,5.95231e-06,8.0592225e-06,1.022065e-05,1.141468e-05,1.27671875e-05
20,"CumDeath",2.382609e-06,3.1049145e-06,3.830902e-06,5.551745e-06,7.68078e-06,1.0102025e-05,1.243718e-05,1.441193e-05,1.56309575e-05
21,"CumDeath",3.176249e-06,4.0704025e-06,5.043449e-06,7.09207e-06,9.833235e-06,1.24763e-05,1.557181e-05,1.7662e-05,1.894387e-05
22,"CumDeath",4.222348e-06,5.188628e-06,6.442027e-06,8.9973575e-06,1.21561e-05,1.545785e-05,1.897092e-05,2.150121e-05,2.323408e-05
23,"CumDeath",5.345625e-06,6.3169755e-06,7.72571e-06,1.08872e-05,1.48177e-05,1.8600225e-05,2.285275e-05,2.5896095e-05,2.77337825e-05
24,"CumDeath",6.2588185e-06,7.6715075e-06,9.740513e-06,1.33661e-05,1.74333e-05,2.238085e-05,2.738916e-05,3.0041815e-05,3.2274055e-05
25,"CumDeath",7.72076275e-06,9.0348275e-06,1.136544e-05,1.5887725e-05,2.04979e-05,2.62421e-05,3.195134e-05,3.514529e-05,3.69144275e-05
26,"CumDeath",8.95867375e-06,1.048497e-05,1.316362e-05,1.8465625e-05,2.363485e-05,3.0961975e-05,3.606674e-05,3.994382e-05,4.24623375e-05
27,"CumDeath",1.05670825e-05,1.1923245e-05,1.462656e-05,2.11551e-05,2.697755e-05,3.516745e-05,4.140772e-05,4.5038355e-05,4.86888275e-05
28,"CumDeath",1.22366625e-05,1.366409e-05,1.684341e-05,2.3450475e-05,3.05067e-05,3.9268075e-05,4.656145e-05,5.189866e-05,5.577353e-05
29,"CumDeath",1.3894185e-05,1.5587745e-05,1.965431e-05,2.607585e-05,3.385995e-05,4.331945e-05,5.196736e-05,5.7982605e-05,6.47545725e-05
30,"CumDeath",1.59393525e-05,1.7568205e-05,2.300859e-05,2.8934825e-05,3.773055e-05,4.8101175e-05,5.69586e-05,6.46094749999999e-05,7.215949e-05
31,"CumDeath",1.81889275e-05,1.9873705e-05,2.565803e-05,3.2099725e-05,4.171865e-05,5.27753e-05,6.285504e-05,7.14281099999999e-05,8.02533724999999e-05
32,"CumDeath",2.032514e-05,2.262378e-05,2.901498e-05,3.6055775e-05,4.63588e-05,5.8556825e-05,6.941909e-05,8.02621699999999e-05,8.98040375e-05
33,"CumDeath",2.26998325e-05,2.532699e-05,3.216586e-05,3.962655e-05,5.082725e-05,6.4098875e-05,7.70166e-05,8.985555e-05,9.85381675e-05
34,"CumDeath",2.53364475e-05,2.8497445e-05,3.545831e-05,4.3732e-05,5.56627e-05,6.9693275e-05,8.513776e-05,9.63748799999999e-05,0.000106819025
35,"CumDeath",2.85175725e-05,3.1856685e-05,3.873011e-05,4.77851e-05,6.076535e-05,7.6448625e-05,9.33073e-05,0.0001040631,0.00011673845
36,"CumDeath",3.1983355e-05,3.5689615e-05,4.271985e-05,5.244725e-05,6.56783e-05,8.4103175e-05,0.0001010344,0.00011281205,0.000126999475
37,"CumDeath",3.578658e-05,3.9727065e-05,4.654771e-05,5.708095e-05,7.105215e-05,9.1721575e-05,0.0001102525,0.00012435455,0.00013765355
38,"CumDeath",4.0006595e-05,4.404551e-05,5.085494e-05,6.20603e-05,7.74921e-05,9.9439925e-05,0.0001207971,0.00013438635,0.00014830785
39,"CumDeath",4.42785475e-05,4.8574515e-05,5.565085e-05,6.7879e-05,8.43041e-05,0.00010742825,0.0001307278,0.00014460075,0.00015944855
40,"CumDeath",4.88140325e-05,5.4238905e-05,6.091708e-05,7.3878725e-05,9.154795e-05,0.000115761,0.0001408267,0.0001565885,0.0001708687
41,"CumDeath",5.3794125e-05,6.053852e-05,6.716189e-05,8.019785e-05,9.86175e-05,0.0001248105,0.0001516985,0.0001678119,0.000182938525
42,"CumDeath",5.917904e-05,6.684273e-05,7.365883e-05,8.7422775e-05,0.000106244,0.000133278,0.0001625368,0.0001802696,0.000197600725
43,"CumDeath",6.53034875e-05,7.394784e-05,7.998612e-05,9.5007025e-05,0.0001151765,0.000142722,0.0001727491,0.000193096,0.000211111025
44,"CumDeath",7.18842225e-05,8.1343605e-05,8.713325e-05,0.000103027,0.0001242545,0.00015321625,0.0001862461,0.00020566895,0.0002248681
45,"CumDeath",7.9118925e-05,8.8981435e-05,9.512684e-05,0.0001115345,0.0001336565,0.00016449025,0.0001989464,0.00022001585,0.00023864395
46,"CumDeath",8.67995975e-05,9.714193e-05,0.0001034878,0.00012045725,0.0001437465,0.00017655225,0.0002124669,0.00023338385,0.000252768375
47,"CumDeath",9.55098775e-05,0.00010582845,0.0001120457,0.00013015475,0.00015397,0.0001875215,0.000225874,0.00024682855,0.0002693169
48,"CumDeath",0.000105110775,0.0001147014,0.0001214788,0.0001400305,0.000165005,0.000200067,0.0002402404,0.00026119125,0.000285751975
49,"CumDeath",0.000115028925,0.0001244599,0.0001312302,0.00015049175,0.0001771385,0.00021235,0.0002548455,0.00027740225,0.00030261215
50,"CumDeath",0.00012518315,0.0001345009,0.0001414147,0.0001613765,0.000189149,0.00022644475,0.0002702115,0.0002939999,0.0003187947
51,"CumDeath",0.000136070125,0.00014560025,0.0001526283,0.00017421125,0.000202109,0.0002405575,0.0002865072,0.00031097035,0.00033601635
52,"CumDeath",0.000147681325,0.0001566859,0.000164675,0.00018618225,0.000215262,0.00025537425,0.0003037677,0.00032820885,0.000354500075
53,"CumDeath",0.00016023605,0.0001678351,0.0001774769,0.0001992225,0.000228997,0.00027183825,0.0003204149,0.00034518715,0.0003726311
54,"CumDeath",0.000173262875,0.0001799848,0.0001901552,0.0002123665,0.0002435475,0.0002880755,0.000337955,0.00036386925,0.000389747
55,"CumDeath",0.0001862403,0.0001933902,0.0002027651,0.000226821,0.0002589305,0.00030394475,0.000354856,0.000381913,0.000408580675
56,"CumDeath",0.000199292425,0.0002062071,0.0002158286,0.00024173975,0.0002754525,0.0003205275,0.0003711096,0.0003985092,0.00042838505
57,"CumDeath",0.00021235145,0.0002198984,0.0002299849,0.00025643375,0.0002918125,0.00033775175,0.0003896261,0.00041530495,0.000447349
58,"CumDeath",0.000225766275,0.0002339757,0.0002439147,0.00027145875,0.000308398,0.000355014,0.0004078257,0.0004322598,0.00046630285
59,"CumDeath",0.000239487225,0.00024797465,0.0002574014,0.00028642925,0.000325278,0.00037179475,0.0004256209,0.00045097795,0.00048553775
60,"CumDeath",0.0002539486,0.00026327685,0.0002726259,0.0003020215,0.0003422,0.00038880325,0.000445364,0.00046796725,0.000505014225
