"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,0
4,"CumDeath",0,0,0,0,0,0,0,0,0
5,"CumDeath",0,0,0,0,0,0,0,1.63626299999999e-10,6.28961675e-10
6,"CumDeath",0,0,0,0,0,2.90507e-10,2.889303e-09,4.951717e-09,7.0603015e-09
7,"CumDeath",0,0,0,0,1.512165e-09,6.05011e-09,1.191017e-08,1.820457e-08,2.34369275e-08
8,"CumDeath",0,0,0,3.3814925e-09,8.377135e-09,1.7213675e-08,2.768369e-08,3.732777e-08,4.62072125e-08
9,"CumDeath",0,2.7447275e-09,6.018413e-09,1.2157875e-08,2.02358e-08,3.33711e-08,5.134286e-08,6.4559195e-08,7.74274025e-08
10,"CumDeath",9.0011095e-09,1.145336e-08,1.546338e-08,2.2390275e-08,3.515975e-08,5.4852575e-08,7.9209e-08,9.86990749999999e-08,1.17793225e-07
11,"CumDeath",1.728946e-08,2.0130095e-08,2.592536e-08,3.68856e-08,5.425375e-08,8.248445e-08,1.135366e-07,1.4127135e-07,1.63281775e-07
12,"CumDeath",2.748621e-08,3.1572735e-08,3.944534e-08,5.2690925e-08,7.68584e-08,1.132785e-07,1.592561e-07,1.8634875e-07,2.23445075e-07
13,"CumDeath",3.98505075e-08,4.5613525e-08,5.583811e-08,7.4139025e-08,1.06474e-07,1.5281725e-07,2.114779e-07,2.461803e-07,2.90019775e-07
14,"CumDeath",5.73850925e-08,6.326014e-08,7.77773e-08,1.02148e-07,1.425585e-07,2.046195e-07,2.764737e-07,3.1871855e-07,3.74541175e-07
15,"CumDeath",8.0874155e-08,8.9043015e-08,1.056753e-07,1.3944375e-07,1.89479e-07,2.6500875e-07,3.509445e-07,4.142866e-07,4.6582565e-07
16,"CumDeath",1.13022625e-07,1.211937e-07,1.428181e-07,1.87234e-07,2.509045e-07,3.398605e-07,4.428372e-07,5.2067085e-07,5.94246175e-07
17,"CumDeath",1.56760675e-07,1.6455905e-07,1.914056e-07,2.5037325e-07,3.29308e-07,4.371215e-07,5.574346e-07,6.4718615e-07,7.53226075e-07
18,"CumDeath",2.12792925e-07,2.242877e-07,2.57022e-07,3.32802e-07,4.32263e-07,5.613715e-07,7.046451e-07,8.13685549999999e-07,9.345274e-07
19,"CumDeath",2.8771345e-07,3.04809e-07,3.477811e-07,4.3941e-07,5.66621e-07,7.18673e-07,8.897371e-07,1.0132895e-06,1.16384675e-06
20,"CumDeath",3.8717335e-07,4.1193415e-07,4.654984e-07,5.8072825e-07,7.42124e-07,9.2067325e-07,1.120166e-06,1.27481e-06,1.471804e-06
21,"CumDeath",5.18113025e-07,5.5414365e-07,6.20132e-07,7.631755e-07,9.62267e-07,1.1690275e-06,1.416489e-06,1.5956105e-06,1.8481235e-06
22,"CumDeath",6.9979715e-07,7.4602955e-07,8.21643e-07,9.9727175e-07,1.240465e-06,1.4969275e-06,1.776928e-06,2.001064e-06,2.29992125e-06
23,"CumDeath",9.44257175e-07,9.917833e-07,1.089371e-06,1.306365e-06,1.60567e-06,1.9099175e-06,2.233253e-06,2.495062e-06,2.8363185e-06
24,"CumDeath",1.255486e-06,1.3119815e-06,1.434306e-06,1.7050775e-06,2.06805e-06,2.4372225e-06,2.81558e-06,3.0990765e-06,3.49782175e-06
25,"CumDeath",1.6635495e-06,1.732188e-06,1.89891e-06,2.214645e-06,2.639065e-06,3.078445e-06,3.527461e-06,3.8307725e-06,4.31613825e-06
26,"CumDeath",2.21517625e-06,2.3049645e-06,2.480684e-06,2.8505e-06,3.341955e-06,3.8879925e-06,4.416154e-06,4.7236465e-06,5.354511e-06
27,"CumDeath",2.897981e-06,2.9820565e-06,3.21284e-06,3.6364e-06,4.24846e-06,4.8905925e-06,5.450747e-06,5.792329e-06,6.64054225e-06
28,"CumDeath",3.75302475e-06,3.8639355e-06,4.13418e-06,4.5933825e-06,5.339325e-06,6.079275e-06,6.7382e-06,7.1702075e-06,8.1554695e-06
29,"CumDeath",4.8241975e-06,4.961363e-06,5.284696e-06,5.873685e-06,6.68404e-06,7.5232675e-06,8.232699e-06,8.866642e-06,9.8840925e-06
30,"CumDeath",6.1203595e-06,6.3117555e-06,6.645843e-06,7.3608625e-06,8.30155e-06,9.23468e-06,1.005767e-05,1.0872105e-05,1.1891165e-05
31,"CumDeath",7.69077675e-06,7.9505305e-06,8.329626e-06,9.115725e-06,1.020535e-05,1.1292075e-05,1.222252e-05,1.3205025e-05,1.41080725e-05
32,"CumDeath",9.57058725e-06,9.925021e-06,1.038895e-05,1.1187475e-05,1.246985e-05,1.366325e-05,1.477302e-05,1.583238e-05,1.66495875e-05
33,"CumDeath",1.179564e-05,1.2187e-05,1.273286e-05,1.3617025e-05,1.506295e-05,1.6456075e-05,1.768103e-05,1.889399e-05,1.96309525e-05
34,"CumDeath",1.4441465e-05,1.488866e-05,1.53927e-05,1.641975e-05,1.805195e-05,1.970875e-05,2.101494e-05,2.2449805e-05,2.3002675e-05
35,"CumDeath",1.73374e-05,1.784114e-05,1.839475e-05,1.9602125e-05,2.13572e-05,2.3136175e-05,2.463844e-05,2.629913e-05,2.70979675e-05
36,"CumDeath",2.0598645e-05,2.118807e-05,2.177021e-05,2.321875e-05,2.508685e-05,2.705115e-05,2.884125e-05,3.0561205e-05,3.17612275e-05
37,"CumDeath",2.4037775e-05,2.47107e-05,2.555407e-05,2.71335e-05,2.9164e-05,3.1304025e-05,3.338518e-05,3.528744e-05,3.66620825e-05
38,"CumDeath",2.80043475e-05,2.879439e-05,2.957282e-05,3.1407775e-05,3.36987e-05,3.60188e-05,3.834815e-05,4.049036e-05,4.19863825e-05
39,"CumDeath",3.2148905e-05,3.3047405e-05,3.394861e-05,3.595475e-05,3.849415e-05,4.1155575e-05,4.385444e-05,4.6072655e-05,4.750845e-05
40,"CumDeath",3.673882e-05,3.755283e-05,3.863981e-05,4.0909175e-05,4.361965e-05,4.65205e-05,4.976596e-05,5.206795e-05,5.36149375e-05
41,"CumDeath",4.1542425e-05,4.240688e-05,4.366265e-05,4.61894e-05,4.915975e-05,5.2245175e-05,5.589566e-05,5.823485e-05,5.99491325e-05
42,"CumDeath",4.66842525e-05,4.767327e-05,4.896605e-05,5.174025e-05,5.50011e-05,5.8281325e-05,6.245177e-05,6.4755785e-05,6.683019e-05
43,"CumDeath",5.21001075e-05,5.2871215e-05,5.446403e-05,5.7481475e-05,6.09994e-05,6.4741075e-05,6.943033e-05,7.1624095e-05,7.3843265e-05
44,"CumDeath",5.77542925e-05,5.8564665e-05,6.021205e-05,6.3436075e-05,6.73093e-05,7.148655e-05,7.633278e-05,7.8715515e-05,8.09947375e-05
45,"CumDeath",6.3329635e-05,6.439912e-05,6.624519e-05,6.9743075e-05,7.386515e-05,7.85655e-05,8.373888e-05,8.60161e-05,8.89291725e-05
46,"CumDeath",6.9199425e-05,7.047988e-05,7.24894e-05,7.630225e-05,8.07939e-05,8.5691525e-05,9.110775e-05,9.351841e-05,9.67088175e-05
47,"CumDeath",7.5479745e-05,7.6869005e-05,7.888579e-05,8.30996e-05,8.77892e-05,9.306435e-05,9.864226e-05,0.00010144185,0.00010448455
48,"CumDeath",8.18990775e-05,8.335186e-05,8.545381e-05,9.012695e-05,9.495965e-05,0.0001004825,0.0001067197,0.0001092973,0.000112398125
49,"CumDeath",8.83151225e-05,8.9943395e-05,9.228591e-05,9.71935e-05,0.000102231,0.00010820725,0.000114947,0.00011721835,0.00012043465
50,"CumDeath",9.51140975e-05,9.66787e-05,9.954788e-05,0.0001043415,0.0001097525,0.00011621675,0.0001231232,0.0001255342,0.000128769125
51,"CumDeath",0.000102091,0.0001035647,0.0001067048,0.00011189975,0.000117482,0.0001244995,0.0001313935,0.00013433155,0.00013744535
52,"CumDeath",0.00010916095,0.0001107201,0.0001138539,0.00011934175,0.0001254795,0.0001329285,0.0001398755,0.00014291405,0.00014632595
53,"CumDeath",0.00011629835,0.00011781965,0.0001211183,0.000127093,0.0001332475,0.000140979,0.0001483172,0.00015163425,0.000155294975
54,"CumDeath",0.000123556175,0.0001253276,0.0001286825,0.00013480175,0.0001411905,0.0001492595,0.0001570368,0.00016064825,0.00016434725
55,"CumDeath",0.0001309272,0.0001329448,0.0001364111,0.00014256025,0.000149517,0.00015805575,0.0001657955,0.0001696015,0.000173289425
56,"CumDeath",0.0001384,0.00014049475,0.0001440622,0.000150491,0.0001577905,0.0001664795,0.0001746362,0.00017838875,0.00018245695
57,"CumDeath",0.0001458501,0.00014824465,0.0001517787,0.000158519,0.00016642,0.0001750465,0.0001832875,0.00018720735,0.000191501775
58,"CumDeath",0.000153464275,0.00015606315,0.0001595339,0.00016678375,0.000175009,0.000183794,0.0001921604,0.00019616515,0.000200582025
