"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,1.43117425e-10
4,"CumDeath",0,0,0,0,0,0,4.01171300000001e-10,2.93080199999999e-09,1.2682725e-08
5,"CumDeath",0,0,0,0,0,2.0146075e-10,8.63612300000001e-09,2.762136e-08,6.16517724999998e-08
6,"CumDeath",0,0,0,0,0,9.35323e-09,4.10289000000001e-08,8.86673949999999e-08,1.52769775e-07
7,"CumDeath",0,0,0,0,3.19416e-09,2.777245e-08,9.26530700000001e-08,1.42568599999998e-07,2.91895725e-07
8,"CumDeath",0,0,0,0,1.59888e-08,6.4032925e-08,1.760857e-07,2.7060275e-07,4.31766775e-07
9,"CumDeath",0,0,0,2.1763875e-09,4.027625e-08,1.1129125e-07,2.889998e-07,3.9303545e-07,6.00786924999999e-07
10,"CumDeath",0,0,0,1.471445e-08,6.429135e-08,1.6763725e-07,4.209057e-07,5.9334815e-07,7.4996225e-07
11,"CumDeath",0,0,2.375758e-09,3.02844e-08,9.342715e-08,2.3410725e-07,5.543006e-07,7.3932385e-07,1.0202815e-06
12,"CumDeath",0,4.34110245000001e-10,1.432426e-08,5.35567e-08,1.300925e-07,2.97652e-07,7.149492e-07,9.47865099999999e-07,1.227309e-06
13,"CumDeath",0,1.33947625e-08,2.738989e-08,7.700455e-08,1.75902e-07,3.7913625e-07,8.889998e-07,1.1694065e-06,1.41768375e-06
14,"CumDeath",4.9307895e-09,2.4741245e-08,5.151263e-08,1.087745e-07,2.28705e-07,4.66051e-07,1.042971e-06,1.3915105e-06,1.667801e-06
15,"CumDeath",1.6074075e-08,3.7971175e-08,7.415337e-08,1.4509425e-07,2.839195e-07,5.54428e-07,1.197374e-06,1.6287395e-06,1.9181415e-06
16,"CumDeath",3.52621625e-08,5.1540045e-08,9.89775e-08,1.8595775e-07,3.489395e-07,6.6399025e-07,1.379495e-06,1.8307615e-06,2.2615985e-06
17,"CumDeath",5.316233e-08,7.6767115e-08,1.262546e-07,2.288575e-07,4.16621e-07,7.9195475e-07,1.589042e-06,2.0507055e-06,2.651734e-06
18,"CumDeath",7.45803475e-08,1.027391e-07,1.59884e-07,2.8009825e-07,4.958215e-07,9.1480425e-07,1.800674e-06,2.2852325e-06,3.04747875e-06
19,"CumDeath",9.85479575e-08,1.349075e-07,1.890388e-07,3.3979225e-07,5.7941e-07,1.066345e-06,2.080788e-06,2.585796e-06,3.43127025e-06
20,"CumDeath",1.254635e-07,1.7772175e-07,2.267049e-07,4.0872775e-07,6.715205e-07,1.240685e-06,2.35998e-06,2.8460175e-06,3.84085675e-06
21,"CumDeath",1.60307075e-07,2.2063155e-07,2.783563e-07,4.908675e-07,7.824615e-07,1.444015e-06,2.667227e-06,3.1880875e-06,4.3749465e-06
22,"CumDeath",2.01827675e-07,2.639314e-07,3.29538e-07,5.7677925e-07,8.965625e-07,1.6551275e-06,2.948781e-06,3.528664e-06,4.8745785e-06
23,"CumDeath",2.5576565e-07,3.06585e-07,3.83437e-07,6.69348e-07,1.037885e-06,1.882265e-06,3.263691e-06,3.893885e-06,5.40290025e-06
24,"CumDeath",3.11516325e-07,3.718189e-07,4.45685e-07,7.71949e-07,1.199975e-06,2.1592725e-06,3.686123e-06,4.3163705e-06,5.95840749999999e-06
25,"CumDeath",3.66698575e-07,4.3738915e-07,5.379434e-07,8.91292e-07,1.35799e-06,2.4290025e-06,4.022956e-06,4.8694255e-06,6.53831374999999e-06
26,"CumDeath",4.3490035e-07,5.3219905e-07,6.374452e-07,1.0450275e-06,1.53344e-06,2.705985e-06,4.405241e-06,5.450643e-06,7.08113449999999e-06
27,"CumDeath",5.1237885e-07,6.1984435e-07,7.346332e-07,1.191725e-06,1.74787e-06,2.9566875e-06,4.761846e-06,6.0935565e-06,7.6694835e-06
28,"CumDeath",6.07538925e-07,6.9966995e-07,8.455473e-07,1.338755e-06,1.96715e-06,3.2992875e-06,5.150974e-06,6.691593e-06,8.275263e-06
29,"CumDeath",7.1405445e-07,7.903868e-07,9.574005e-07,1.4988575e-06,2.196955e-06,3.7236775e-06,5.646782e-06,7.27867099999999e-06,8.9207065e-06
30,"CumDeath",8.2150245e-07,8.9759615e-07,1.091368e-06,1.6642175e-06,2.431675e-06,4.1760225e-06,6.117829e-06,8.0685345e-06,9.60947249999999e-06
31,"CumDeath",9.24745575e-07,1.0117955e-06,1.251006e-06,1.8541525e-06,2.71114e-06,4.5029525e-06,6.585061e-06,8.8101555e-06,1.037698e-05
32,"CumDeath",1.030571e-06,1.170628e-06,1.424347e-06,2.0385525e-06,3.002785e-06,4.84424e-06,7.007168e-06,9.4191505e-06,1.10606725e-05
33,"CumDeath",1.12934275e-06,1.3258465e-06,1.607838e-06,2.25292e-06,3.274975e-06,5.2664175e-06,7.508316e-06,1.0010805e-05,1.1729405e-05
34,"CumDeath",1.225001e-06,1.4865575e-06,1.74058e-06,2.46117e-06,3.576795e-06,5.618895e-06,8.068059e-06,1.0663695e-05,1.23713775e-05
35,"CumDeath",1.3354435e-06,1.6431415e-06,1.922101e-06,2.68882e-06,3.870215e-06,6.01191e-06,8.635592e-06,1.1412915e-05,1.29831425e-05
36,"CumDeath",1.47586575e-06,1.7755385e-06,2.111802e-06,2.8733225e-06,4.17653e-06,6.3296725e-06,9.181937e-06,1.1927955e-05,1.36229825e-05
37,"CumDeath",1.62383075e-06,1.9105545e-06,2.303782e-06,3.0670875e-06,4.476205e-06,6.6825075e-06,9.720397e-06,1.2367755e-05,1.428027e-05
38,"CumDeath",1.76976275e-06,2.047536e-06,2.500802e-06,3.2875975e-06,4.7609e-06,7.04434e-06,1.022703e-05,1.3153975e-05,1.4860315e-05
39,"CumDeath",1.9190565e-06,2.185896e-06,2.704647e-06,3.52103e-06,5.036045e-06,7.39302e-06,1.065923e-05,1.368029e-05,1.53782825e-05
40,"CumDeath",2.06427775e-06,2.325744e-06,2.909591e-06,3.7542225e-06,5.310755e-06,7.7512e-06,1.121692e-05,1.406552e-05,1.581459e-05
41,"CumDeath",2.2041685e-06,2.4862695e-06,3.08567e-06,3.970565e-06,5.598105e-06,8.09122e-06,1.169027e-05,1.4458715e-05,1.62275625e-05
42,"CumDeath",2.34474075e-06,2.604153e-06,3.261048e-06,4.19339e-06,5.854445e-06,8.46041e-06,1.223023e-05,1.475464e-05,1.661322e-05
43,"CumDeath",2.48529425e-06,2.7421275e-06,3.428637e-06,4.406465e-06,6.1231e-06,8.84608e-06,1.266299e-05,1.508305e-05,1.71171525e-05
44,"CumDeath",2.625103e-06,2.8808285e-06,3.632829e-06,4.6078625e-06,6.359275e-06,9.13427e-06,1.305293e-05,1.5645015e-05,1.76688075e-05
45,"CumDeath",2.74655475e-06,3.0157405e-06,3.823355e-06,4.79314e-06,6.576665e-06,9.45544e-06,1.341636e-05,1.6076145e-05,1.8111945e-05
46,"CumDeath",2.851528e-06,3.1304525e-06,3.991006e-06,4.9721425e-06,6.798965e-06,9.7022675e-06,1.374787e-05,1.637973e-05,1.85496975e-05
47,"CumDeath",2.9909645e-06,3.2425475e-06,4.126124e-06,5.1805225e-06,7.014455e-06,9.98104e-06,1.401691e-05,1.6666105e-05,1.89637525e-05
48,"CumDeath",3.1049e-06,3.358986e-06,4.255099e-06,5.3318225e-06,7.20737e-06,1.0227575e-05,1.425085e-05,1.6935925e-05,1.93556275e-05
49,"CumDeath",3.20444175e-06,3.4877435e-06,4.417006e-06,5.490185e-06,7.383455e-06,1.0435025e-05,1.457285e-05,1.718963e-05,1.9723255e-05
50,"CumDeath",3.296063e-06,3.6245695e-06,4.586881e-06,5.6250475e-06,7.586775e-06,1.0664475e-05,1.486784e-05,1.7428095e-05,1.99996375e-05
51,"CumDeath",3.40839875e-06,3.7570745e-06,4.694764e-06,5.76779e-06,7.780435e-06,1.08968e-05,1.509392e-05,1.763235e-05,2.02554675e-05
52,"CumDeath",3.521197e-06,3.884935e-06,4.800602e-06,5.9222375e-06,7.972515e-06,1.1174075e-05,1.530165e-05,1.7811425e-05,2.049234e-05
53,"CumDeath",3.630636e-06,4.015806e-06,4.908377e-06,6.0743025e-06,8.15602e-06,1.1392825e-05,1.554535e-05,1.7974795e-05,2.07135125e-05
54,"CumDeath",3.7365025e-06,4.136028e-06,5.030491e-06,6.20003e-06,8.334745e-06,1.1530025e-05,1.578507e-05,1.815799e-05,2.09180825e-05
55,"CumDeath",3.836377e-06,4.2455445e-06,5.150983e-06,6.30389e-06,8.498905e-06,1.17052e-05,1.598139e-05,1.830927e-05,2.1107225e-05
56,"CumDeath",3.924843e-06,4.3387975e-06,5.246491e-06,6.420785e-06,8.65946e-06,1.189625e-05,1.613563e-05,1.8447355e-05,2.131225e-05
