"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,0
4,"CumDeath",0,0,0,0,0,0,0,0,0
5,"CumDeath",0,0,0,0,0,0,0,0,0
6,"CumDeath",0,0,0,0,0,0,0,0,0
7,"CumDeath",0,0,0,0,0,0,0,0,0
8,"CumDeath",0,0,0,0,0,0,0,0,0
9,"CumDeath",0,0,0,0,0,0,0,0,0
10,"CumDeath",0,0,0,0,0,0,0,0,0
11,"CumDeath",0,0,0,0,0,0,0,0,0
12,"CumDeath",0,0,0,0,0,0,0,0,0
13,"CumDeath",0,0,0,0,0,0,5.873278e-09,3.0891365e-08,6.1065145e-08
14,"CumDeath",0,0,0,0,2.419935e-10,5.07457e-08,1.464222e-07,1.896638e-07,2.51120575e-07
15,"CumDeath",1.24127175e-09,4.238002e-09,1.550303e-08,5.5745725e-08,1.32965e-07,2.4531625e-07,3.941509e-07,5.0971405e-07,5.99466324999999e-07
16,"CumDeath",9.77135025e-08,1.378791e-07,1.809383e-07,2.699455e-07,3.91631e-07,5.3676575e-07,7.701057e-07,9.3954115e-07,1.0284395e-06
17,"CumDeath",2.235005e-07,2.669706e-07,3.472795e-07,5.0720425e-07,7.151155e-07,9.454935e-07,1.242076e-06,1.4449125e-06,1.650844e-06
18,"CumDeath",3.4434075e-07,4.141671e-07,5.281438e-07,7.9644375e-07,1.09232e-06,1.432605e-06,1.777512e-06,2.0665845e-06,2.3431455e-06
19,"CumDeath",5.04119125e-07,6.029256e-07,7.405521e-07,1.13248e-06,1.558875e-06,2.0144325e-06,2.476306e-06,2.851834e-06,3.113286e-06
20,"CumDeath",6.76476675e-07,8.2674185e-07,1.0057262e-06,1.5548025e-06,2.109645e-06,2.74071e-06,3.310484e-06,3.8079915e-06,4.08853475e-06
21,"CumDeath",9.04223725e-07,1.0900485e-06,1.325004e-06,2.06038e-06,2.837885e-06,3.631445e-06,4.416238e-06,4.9259375e-06,5.26700875e-06
22,"CumDeath",1.18738325e-06,1.4433005e-06,1.730845e-06,2.672315e-06,3.758915e-06,4.7820325e-06,5.755668e-06,6.388115e-06,6.83513075e-06
23,"CumDeath",1.54769925e-06,1.8571295e-06,2.254232e-06,3.5019825e-06,4.99262e-06,6.1432725e-06,7.453276e-06,8.221603e-06,8.81072875e-06
24,"CumDeath",2.0134815e-06,2.419005e-06,2.893406e-06,4.5707875e-06,6.51038e-06,7.9933075e-06,9.48426e-06,1.0440995e-05,1.1301555e-05
25,"CumDeath",2.606355e-06,3.1253095e-06,3.693773e-06,5.7705975e-06,8.36214e-06,1.0254725e-05,1.220529e-05,1.346269e-05,1.42843375e-05
26,"CumDeath",3.35764325e-06,3.985407e-06,4.681741e-06,7.1202425e-06,1.07314e-05,1.31706e-05,1.535871e-05,1.684553e-05,1.7614585e-05
27,"CumDeath",4.3080455e-06,5.0577035e-06,5.970702e-06,8.6939975e-06,1.36092e-05,1.6292825e-05,1.913975e-05,2.052447e-05,2.23283425e-05
28,"CumDeath",5.5528225e-06,6.4087935e-06,7.528822e-06,1.08319e-05,1.65743e-05,2.0470875e-05,2.34026e-05,2.536974e-05,2.65696525e-05
29,"CumDeath",6.979959e-06,8.078552e-06,9.40942e-06,1.323935e-05,2.01336e-05,2.49827e-05,2.848753e-05,3.0352435e-05,3.2495345e-05
30,"CumDeath",8.77735625e-06,1.0145035e-05,1.163528e-05,1.63278e-05,2.426705e-05,3.0296475e-05,3.407548e-05,3.631788e-05,3.90191825e-05
31,"CumDeath",1.111586e-05,1.2661985e-05,1.44289e-05,1.970615e-05,2.89627e-05,3.59846e-05,4.061012e-05,4.324836e-05,4.707031e-05
32,"CumDeath",1.38595e-05,1.569702e-05,1.786181e-05,2.3795175e-05,3.44672e-05,4.2824225e-05,4.851605e-05,5.161373e-05,5.6023825e-05
33,"CumDeath",1.69063225e-05,1.9298585e-05,2.178905e-05,2.8715675e-05,4.0611e-05,5.0407825e-05,5.720544e-05,6.122895e-05,6.56962575e-05
34,"CumDeath",2.06078175e-05,2.3345415e-05,2.642152e-05,3.4134075e-05,4.78559e-05,5.875715e-05,6.658309e-05,7.216994e-05,7.673856e-05
35,"CumDeath",2.48888e-05,2.797325e-05,3.181532e-05,4.0326375e-05,5.581985e-05,6.820535e-05,7.669844e-05,8.3797535e-05,8.89347675e-05
36,"CumDeath",2.9721925e-05,3.3269925e-05,3.762373e-05,4.752e-05,6.49987e-05,7.84601e-05,8.803028e-05,9.631751e-05,0.000101473825
37,"CumDeath",3.50935075e-05,3.986128e-05,4.412043e-05,5.573045e-05,7.45457e-05,8.9122825e-05,9.987222e-05,0.00011014565,0.000115231425
38,"CumDeath",4.120991e-05,4.7130295e-05,5.129792e-05,6.43353e-05,8.47612e-05,0.00010100275,0.0001133592,0.00012458515,0.0001289034
39,"CumDeath",4.78996875e-05,5.3947165e-05,5.899594e-05,7.3394275e-05,9.58799e-05,0.00011371425,0.0001269506,0.00013935585,0.0001448886
40,"CumDeath",5.4911875e-05,6.217915e-05,6.717162e-05,8.2984475e-05,0.0001076765,0.000126844,0.0001414879,0.00015577435,0.000161356675
41,"CumDeath",6.239912e-05,7.0927645e-05,7.584304e-05,9.31482e-05,0.0001195145,0.00013971675,0.0001567147,0.00017091685,0.000176803675
42,"CumDeath",7.05482e-05,7.89957e-05,8.503787e-05,0.000103653,0.000131997,0.00015357425,0.0001719379,0.00018593815,0.000192803975
43,"CumDeath",7.9323945e-05,8.7215895e-05,9.456903e-05,0.000114703,0.0001445625,0.000168574,0.0001876858,0.0002013813,0.000209704125
44,"CumDeath",8.83339275e-05,9.6472175e-05,0.000104582,0.00012593825,0.000157088,0.0001832705,0.0002031347,0.00021671815,0.000225877325
45,"CumDeath",9.73507875e-05,0.0001056468,0.000115214,0.00013741475,0.000170362,0.00019805225,0.0002191444,0.00023222085,0.000242478075
46,"CumDeath",0.0001066473,0.0001155756,0.0001261063,0.00014936175,0.0001835495,0.000212459,0.0002349444,0.0002488601,0.0002596771
47,"CumDeath",0.00011624715,0.0001258029,0.0001365612,0.0001614985,0.0001972305,0.000226897,0.0002507366,0.0002654106,0.0002769636
48,"CumDeath",0.0001261354,0.00013594385,0.0001477309,0.00017388175,0.0002109745,0.000241336,0.0002666645,0.00028245005,0.000293991625
49,"CumDeath",0.00013626165,0.00014643995,0.0001590991,0.000187226,0.0002241225,0.000256372,0.0002836022,0.00030058315,0.000311475175
50,"CumDeath",0.000146612475,0.00015710285,0.0001706356,0.0001997455,0.0002378595,0.00027098625,0.0003006039,0.0003155594,0.000329216625
51,"CumDeath",0.000157175775,0.00016853955,0.0001820239,0.00021201725,0.000251228,0.000286062,0.0003173986,0.00033147835,0.000346686725
52,"CumDeath",0.00016786735,0.00017985455,0.0001932664,0.0002242025,0.000264396,0.00030021875,0.0003324768,0.0003477558,0.00036387175
53,"CumDeath",0.000178227075,0.00019073415,0.0002047731,0.000236815,0.000277736,0.00031481175,0.0003475829,0.00036491055,0.0003807375
54,"CumDeath",0.000188688475,0.0002019198,0.0002166671,0.0002497095,0.0002912385,0.00032969925,0.0003626378,0.0003812885,0.00039726355
55,"CumDeath",0.000199599425,0.00021354665,0.000229284,0.00026247125,0.0003047965,0.0003440335,0.0003787448,0.0003971765,0.000414158075
56,"CumDeath",0.000210881625,0.0002253258,0.0002420924,0.0002747675,0.000318926,0.00035859075,0.0003944067,0.0004135373,0.00043156745
57,"CumDeath",0.000222234925,0.0002372307,0.0002542962,0.00028801625,0.000332593,0.00037316175,0.0004107425,0.0004297996,0.00044845995
58,"CumDeath",0.0002337035,0.00024890615,0.0002664391,0.0003005575,0.00034675,0.0003874305,0.0004269386,0.00044594075,0.0004650865
59,"CumDeath",0.000245237975,0.00026022475,0.000278527,0.000312691,0.0003599475,0.000401772,0.0004431144,0.0004619525,0.00048173195
60,"CumDeath",0.000256671225,0.00027105775,0.0002907801,0.00032554225,0.0003732015,0.000416359,0.0004590154,0.00047785305,0.00049850735
61,"CumDeath",0.000268177125,0.0002828486,0.0003033074,0.00033883775,0.0003871025,0.000430535,0.000474815,0.00049374645,0.000515195825
62,"CumDeath",0.000279724025,0.00029493535,0.0003156629,0.0003518975,0.0004013995,0.000444977,0.0004896036,0.00051042055,0.000531787625
63,"CumDeath",0.0002913361,0.0003070585,0.0003280634,0.00036478275,0.000415458,0.00045873375,0.0005045648,0.0005254959,0.000547835125
64,"CumDeath",0.000302893525,0.00031915705,0.0003405521,0.0003770435,0.0004283075,0.00047298475,0.000519367,0.00054061215,0.000563657175
65,"CumDeath",0.0003143995,0.0003310773,0.0003525747,0.000389581,0.0004412225,0.00048673175,0.0005340119,0.0005561804,0.00057939065
